ID,split,file,mode,parse_mode,metadata_source,numeric_rows,density_columns_in_source,min_frequency_raw_THz,max_frequency_raw_THz,negative_frequency_points,zero_frequency_points,used_positive_frequency_points,negative_intensity_points_clipped,negative_frequency_area_diagnostic,positive_area_0_to_100_THz,status,error,imaginary_area_fraction
de5,test,/content/obelix_audit_filtered_spectra/Test_cif/de5/Lithium_PDOS_de5.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.449663500416565,12.798712798809431,21,0,180,0,0.00010511490358109185,9.041839529177976,ok,,1.1625254048629377e-05
dvb,test,/content/obelix_audit_filtered_spectra/Test_cif/dvb/Lithium_PDOS_dvb.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.076007764330269,23.909903764283136,16,0,185,0,0.0,128.22589867084142,ok,,0.0
ecp,test,/content/obelix_audit_filtered_spectra/Test_cif/ecp/Lithium_PDOS_ecp.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.901786338134399,21.392547994353865,24,0,177,0,0.0026051979962874584,12.058799426293877,ok,,0.00021599457753377366
ei3,test,/content/obelix_audit_filtered_spectra/Test_cif/ei3/Lithium_PDOS_ei3.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.3023368077786945,12.903032132814053,31,0,170,0,0.02092874174534326,27.12560828643991,ok,,0.0007709543844805588
elz,test,/content/obelix_audit_filtered_spectra/Test_cif/elz/Lithium_PDOS_elz.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.5275918240142934,12.704348698331415,22,0,179,0,0.0021044532495444225,18.02598977255696,ok,,0.00011673187543761452
gwu,test,/content/obelix_audit_filtered_spectra/Test_cif/gwu/Lithium_PDOS_gwu.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-7.301597019191586,28.187393654567938,42,0,159,0,0.0260859660395419,8.847589331380412,ok,,0.0029397025657594733
h5i,test,/content/obelix_audit_filtered_spectra/Test_cif/h5i/Lithium_PDOS_h5i.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-5.777214393980976,32.25218219303954,31,0,170,0,0.0024565534607086307,2.893769875537067,ok,,0.0008481910931110132
i47,test,/content/obelix_audit_filtered_spectra/Test_cif/i47/Lithium_PDOS_i47.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.4903599489927135,18.092924407010337,16,0,185,0,0.0,3.0679399615685847,ok,,0.0
ipo,test,/content/obelix_audit_filtered_spectra/Test_cif/ipo/Lithium_PDOS_ipo.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.9423416846675328,22.26331400912212,17,0,184,0,0.0,84.88244457514008,ok,,0.0
j5g,test,/content/obelix_audit_filtered_spectra/Test_cif/j5g/Lithium_PDOS_j5g.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.160607170933676,24.81659615221347,17,0,184,0,0.0,140.63839436295189,ok,,0.0
jy6,test,/content/obelix_audit_filtered_spectra/Test_cif/jy6/Lithium_PDOS_jy6.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.39762041293464,34.37637511684589,18,0,183,0,4.352131995235163e-05,18.395991676037852,ok,,2.365798906418843e-06
klr,test,/content/obelix_audit_filtered_spectra/Test_cif/klr/Lithium_PDOS_klr.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.473641450591022,16.628301606957397,17,0,184,0,0.0,46.336543215650735,ok,,0.0
kxw,test,/content/obelix_audit_filtered_spectra/Test_cif/kxw/Lithium_PDOS_kxw.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.541531426091257,29.92250986587881,16,0,185,0,0.0,18.72786857755777,ok,,0.0
l2w,test,/content/obelix_audit_filtered_spectra/Test_cif/l2w/Lithium_PDOS_l2w.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.4423835988327527,18.222648085101746,15,0,186,0,0.0,8.935614668246593,ok,,0.0
l6h,test,/content/obelix_audit_filtered_spectra/Test_cif/l6h/Lithium_PDOS_l6h.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.0452791663669525,23.707930678293764,16,0,185,0,0.0,156.1636145828461,ok,,0.0
mdp,test,/content/obelix_audit_filtered_spectra/Test_cif/mdp/Lithium_PDOS_mdp.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.7814603316822992,20.22138046103718,17,0,184,0,0.0,42.817273583949614,ok,,0.0
me3,test,/content/obelix_audit_filtered_spectra/Test_cif/me3/Lithium_PDOS_me3.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.8600889500763529,19.01292209658781,18,0,183,0,2.1598168392244682e-06,12.647733393629396,ok,,1.707670776399151e-07
mfu,test,/content/obelix_audit_filtered_spectra/Test_cif/mfu/Lithium_PDOS_mfu.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.410604957082707,31.94998001182065,25,0,176,0,0.01964993467969821,34.23178990089646,ok,,0.0005736966029465508
mtr,test,/content/obelix_audit_filtered_spectra/Test_cif/mtr/Lithium_PDOS_mtr.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.9564044314449829,22.727095605768884,16,0,185,0,0.0,132.8872502052414,ok,,0.0
o0a,test,/content/obelix_audit_filtered_spectra/Test_cif/o0a/Lithium_PDOS_o0a.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.1171757104085218,12.972294612595018,16,0,185,0,0.0,47.62757312037592,ok,,0.0
ob9,test,/content/obelix_audit_filtered_spectra/Test_cif/ob9/Lithium_PDOS_ob9.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.4426673069757376,18.22256596992619,15,0,186,0,0.0,8.936985017980343,ok,,0.0
p81,test,/content/obelix_audit_filtered_spectra/Test_cif/p81/Lithium_PDOS_p81.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6810875163822037,16.56641662553298,19,0,182,0,0.00015431540825370482,12.145911695172849,ok,,1.2704970326957896e-05
ro9,test,/content/obelix_audit_filtered_spectra/Test_cif/ro9/Lithium_PDOS_ro9.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.864736219039063,39.74607422618257,22,0,179,0,0.002696184984911697,17.841236973563255,ok,,0.0001510981329595535
s2v,test,/content/obelix_audit_filtered_spectra/Test_cif/s2v/Lithium_PDOS_s2v.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.9904736673690768,23.09312394670072,16,0,185,0,0.0,138.08315615253937,ok,,0.0
um1,test,/content/obelix_audit_filtered_spectra/Test_cif/um1/Lithium_PDOS_um1.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.408211454647537,27.3278792960288,17,0,184,0,0.0,57.597143578351464,ok,,0.0
ux3,test,/content/obelix_audit_filtered_spectra/Test_cif/ux3/Lithium_PDOS_ux3.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.9059207189046083,32.76935696377703,17,0,184,0,0.0,2.868832125031137,ok,,0.0
vwy,test,/content/obelix_audit_filtered_spectra/Test_cif/vwy/Lithium_PDOS_vwy.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.3850434899202897,30.0652541440866,21,0,180,0,0.00012991424863749163,3.030912983126472,ok,,4.2861237216404175e-05
wa3,test,/content/obelix_audit_filtered_spectra/Test_cif/wa3/Lithium_PDOS_wa3.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.16714487133457,25.0402839583009,16,0,185,0,0.0,153.37972097112225,ok,,0.0
wgw,test,/content/obelix_audit_filtered_spectra/Test_cif/wgw/Lithium_PDOS_wgw.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-9.74372630145091,31.880020642365636,47,0,154,0,0.034057443750674495,11.570038259913968,ok,,0.002934950264148455
xq3,test,/content/obelix_audit_filtered_spectra/Test_cif/xq3/Lithium_PDOS_xq3.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-5.270978393556305,30.85773214029703,30,0,171,0,0.09441519755393507,11.137850394929515,ok,,0.008405712701195119
zs0,test,/content/obelix_audit_filtered_spectra/Test_cif/zs0/Lithium_PDOS_zs0.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.4961405729528965,18.01759915683664,16,0,185,0,0.0,9.16995598823219,ok,,0.0
zv5,test,/content/obelix_audit_filtered_spectra/Test_cif/zv5/Lithium_PDOS_zv5.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.2290814007060769,14.418163010642829,16,0,185,0,0.0,50.72209629295529,ok,,0.0
00x,train,/content/obelix_audit_filtered_spectra/Train_cif/00x/Lithium_PDOS_00x.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.189520804520139,41.99507588352155,19,0,182,0,0.00012978104035977445,5.906402463302958,ok,,2.1972459472148936e-05
019,train,/content/obelix_audit_filtered_spectra/Train_cif/019/Lithium_PDOS_019.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.602551761047403,39.45569469556423,21,0,180,0,0.0008420726586062649,18.41318969097854,ok,,4.572994493629234e-05
09w,train,/content/obelix_audit_filtered_spectra/Train_cif/09w/Lithium_PDOS_09w.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6591326836807407,19.174082619583466,16,0,185,0,0.0,72.71802843248366,ok,,0.0
0fh,train,/content/obelix_audit_filtered_spectra/Train_cif/0fh/Lithium_PDOS_0fh.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.6645510824844623,41.474940411601935,17,0,184,0,0.0,20.580930651491094,ok,,0.0
0iv,train,/content/obelix_audit_filtered_spectra/Train_cif/0iv/Lithium_PDOS_0iv.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.560797239561433,19.554653032146483,15,0,186,0,0.0,12.181537088387113,ok,,0.0
10s,train,/content/obelix_audit_filtered_spectra/Train_cif/10s/Lithium_PDOS_10s.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.667469228932278,19.240220966822413,16,0,185,0,0.0,72.38159368072384,ok,,0.0
11b,train,/content/obelix_audit_filtered_spectra/Train_cif/11b/Lithium_PDOS_11b.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.432855987183733,16.726097435590585,35,0,166,0,0.04071764584052573,17.826724447491276,ok,,0.0022788738101309817
122,train,/content/obelix_audit_filtered_spectra/Train_cif/122/Lithium_PDOS_122.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.723057084225641,19.914432810563003,16,0,185,0,0.0,72.31518660568993,ok,,0.0
13q,train,/content/obelix_audit_filtered_spectra/Train_cif/13q/Lithium_PDOS_13q.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.697153685066937,19.24422344357259,17,0,184,0,0.0,59.389788574747044,ok,,0.0
1dm,train,/content/obelix_audit_filtered_spectra/Train_cif/1dm/Lithium_PDOS_1dm.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.639681614444848,41.44949289909506,17,0,184,0,0.0,28.540640658941786,ok,,0.0
1e9,train,/content/obelix_audit_filtered_spectra/Train_cif/1e9/Lithium_PDOS_1e9.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.3052370050486644,14.01287737951812,18,0,183,0,1.7331024636925218e-05,36.56690649503018,ok,,4.739535849219136e-07
1kq,train,/content/obelix_audit_filtered_spectra/Train_cif/1kq/Lithium_PDOS_1kq.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6377234085250458,18.95009432079304,16,0,185,0,0.0,70.07560884633939,ok,,0.0
1m8,train,/content/obelix_audit_filtered_spectra/Train_cif/1m8/Lithium_PDOS_1m8.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6141149740717924,18.686433456774928,16,0,185,0,0.0,76.8809530983776,ok,,0.0
1xf,train,/content/obelix_audit_filtered_spectra/Train_cif/1xf/Lithium_PDOS_1xf.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.652808373114935,41.71958978241864,17,0,184,0,0.0,27.3922563620559,ok,,0.0
1xt,train,/content/obelix_audit_filtered_spectra/Train_cif/1xt/Lithium_PDOS_1xt.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.3048343729254097,24.545396024304196,18,0,183,0,0.0002031103041622425,24.944751510185778,ok,,8.142340094513799e-06
20k,train,/content/obelix_audit_filtered_spectra/Train_cif/20k/Lithium_PDOS_20k.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.1110671986602885,24.3577732890461,16,0,185,0,0.0,143.32695417521185,ok,,0.0
240,train,/content/obelix_audit_filtered_spectra/Train_cif/240/Lithium_PDOS_240.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.308035949487688,15.863929779527115,16,0,185,0,0.0,190.5440609573622,ok,,0.0
2t8,train,/content/obelix_audit_filtered_spectra/Train_cif/2t8/Lithium_PDOS_2t8.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.399619882785392,36.67700995910203,22,0,179,0,0.000863481943845562,5.835735736004095,ok,,0.0001479426480389978
2wb,train,/content/obelix_audit_filtered_spectra/Train_cif/2wb/Lithium_PDOS_2wb.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.1634319021974973,24.97560144830577,16,0,185,0,0.0,167.8424674600792,ok,,0.0
3nb,train,/content/obelix_audit_filtered_spectra/Train_cif/3nb/Lithium_PDOS_3nb.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.381043893125568,29.471204310933956,26,0,175,0,0.010053486646205863,6.151469974070388,ok,,0.0016316559874035806
3rx,train,/content/obelix_audit_filtered_spectra/Train_cif/3rx/Lithium_PDOS_3rx.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.963024927017205,27.224941614243388,31,0,170,0,0.006046928849063953,5.925441625025056,ok,,0.0010194622806975549
3uq,train,/content/obelix_audit_filtered_spectra/Train_cif/3uq/Lithium_PDOS_3uq.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.521641300978164,40.429414028383135,17,0,184,0,0.0,20.82269494848262,ok,,0.0
3zo,train,/content/obelix_audit_filtered_spectra/Train_cif/3zo/Lithium_PDOS_3zo.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6634127217122594,19.229348104767247,16,0,185,0,0.0,72.31335194931123,ok,,0.0
419,train,/content/obelix_audit_filtered_spectra/Train_cif/419/Lithium_PDOS_419.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.08136960497556,23.858129157475226,17,0,184,0,0.0,128.26553700561402,ok,,0.0
472,train,/content/obelix_audit_filtered_spectra/Train_cif/472/Lithium_PDOS_472.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.1633237889348678,36.86861257489589,16,0,185,0,0.0,84.26214633709772,ok,,0.0
47i,train,/content/obelix_audit_filtered_spectra/Train_cif/47i/Lithium_PDOS_47i.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-5.009836012282383,38.61773344438241,23,0,178,0,0.00499844264035272,24.861856318766904,ok,,0.00020100823720216435
4ba,train,/content/obelix_audit_filtered_spectra/Train_cif/4ba/Lithium_PDOS_4ba.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-11.856843840407045,40.81163441440673,46,0,155,0,0.2762537989460086,6.150733888421336,ok,,0.04298340254937831
4ea,train,/content/obelix_audit_filtered_spectra/Train_cif/4ea/Lithium_PDOS_4ea.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-4.027891441586203,39.15794712365138,19,0,182,0,0.0014893503538226207,17.838254534219796,ok,,8.348496275837747e-05
4kt,train,/content/obelix_audit_filtered_spectra/Train_cif/4kt/Lithium_PDOS_4kt.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-0.9893856464024932,12.179478629900345,16,0,185,0,0.0,12.115728364228449,ok,,0.0
5bz,train,/content/obelix_audit_filtered_spectra/Train_cif/5bz/Lithium_PDOS_5bz.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-5.199462190619308,58.240933526900896,17,0,184,0,0.0,35.572508785877204,ok,,0.0
5wz,train,/content/obelix_audit_filtered_spectra/Train_cif/5wz/Lithium_PDOS_5wz.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6584984544411068,19.276356813587437,16,0,185,0,0.0,72.235880754931,ok,,0.0
5z0,train,/content/obelix_audit_filtered_spectra/Train_cif/5z0/Lithium_PDOS_5z0.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.2089517139622803,27.485870090512343,15,0,186,0,0.0,117.96999682124965,ok,,0.0
5zv,train,/content/obelix_audit_filtered_spectra/Train_cif/5zv/Lithium_PDOS_5zv.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.1854869762856803,36.19708652709908,17,0,184,0,0.0,46.662537224281834,ok,,0.0
68u,train,/content/obelix_audit_filtered_spectra/Train_cif/68u/Lithium_PDOS_68u.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-2.131437919461133,24.62897058423603,16,0,185,0,0.0,116.48618395403165,ok,,0.0
6du,train,/content/obelix_audit_filtered_spectra/Train_cif/6du/Lithium_PDOS_6du.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-3.520792684833605,30.25485799298502,21,0,180,0,0.0010298531182604796,30.272393646940852,ok,,3.401838970271957e-05
6jf,train,/content/obelix_audit_filtered_spectra/Train_cif/6jf/Lithium_PDOS_6jf.csv,pdos,summed_named_Li_PDOS_columns,table_header;frequency_column=Frequency_THz;selected_density_columns=['Lithium_PDOS'],201,1,-1.6642565909845148,19.307940167878144,16,0,185,0,0.0,72.0279122997342,ok,,0.0
