split,ID,Family,log10_ic_limit,ic_is_upper_limit
train,ym6,NASICON,-2.91721462968355,False
train,qno,NASICON,-6.416801226031377,False
train,lpx,NASICON,-4.1487416512809245,False
train,yq2,NASICON,-4.522878745280337,False
train,kab,NASICON,-4.425968732272281,False
train,dc8,fluorophosphates,-10.0,True
train,hai,phosphates,-10.0,True
train,tvf,hydrides,-5.0,False
train,gvd,nitrides,-3.2390500485891027,False
train,uex,sugilites,-10.0,True
train,11b,phosphates,-3.153044674980176,False
train,fft,nitrides,-3.6808939406902237,False
train,68u,garnet,-5.096910013008056,False
train,vy5,oxides,-7.866461091629782,False
train,rwr,phosphates,-4.7447274948966935,False
train,pql,phosphates,-4.346787486224656,False
train,i12,oxides,-10.0,True
train,aui,oxides,-10.0,True
train,mfs,oxides,-10.0,True
train,jl4,oxides,-9.18309616062434,False
train,jkq,oxides,-10.8153085691824,False
train,yav,cholorides,-5.158015195409886,False
train,122,argyrodites,-2.688246138944246,False
train,ij5,argyrodites,-2.4775557664936803,False
train,6jf,argyrodites,-2.939302159646388,False
train,ymc,argyrodites,-4.581698708680254,False
train,ywe,argyrodites,-5.886056647693163,False
train,kgl,argyrodites,-2.6458915608525992,False
train,vqj,argyrodites,-3.9507819773298185,False
train,h82,argyrodites,-5.3260580013659125,False
train,9zr,argyrodites,-3.1542819820333414,False
train,a8v,argyrodites,-3.0565054840938974,False
train,09w,argyrodites,-3.359518563029578,False
train,x2v,argyrodites,-3.0589857562944305,False
train,bnh,argyrodites,-3.097453220686009,False
train,ish,argyrodites,-3.0310503190186573,False
train,iiy,argyrodites,-2.7721132953863266,False
train,3zo,argyrodites,-2.96657624451305,False
train,vj7,argyrodites,-2.85078088734462,False
train,wsd,argyrodites,-2.7825160557860937,False
train,10s,argyrodites,-2.630784142589857,False
train,fkj,argyrodites,-2.6595558851598815,False
train,nig,argyrodites,-2.5575202309355514,False
train,hbz,argyrodites,-2.406713932979543,False
train,uut,argyrodites,-2.441291429466834,False
train,cju,argyrodites,-2.438898616350944,False
train,d9l,argyrodites,-2.571865205971211,False
train,96f,argyrodites,-2.555955204081924,False
train,1kq,argyrodites,-2.5214335044061564,False
train,c6e,argyrodites,-2.4584207560534193,False
train,t2c,argyrodites,-2.417936637088291,False
train,dlj,argyrodites,-2.4424927980943423,False
train,w87,argyrodites,-4.494850021680094,False
train,97p,argyrodites,-4.481486060122113,False
train,p9u,argyrodites,-3.657577319177794,False
train,5wz,argyrodites,-5.8996294548824375,False
train,pa1,argyrodites,-2.2831622767004753,False
train,lxk,argyrodites,-2.25649023527157,False
train,1m8,argyrodites,-2.58838029403677,False
train,240,phosphates,-4.0655015487564325,False
train,6l9,boracites,-5.698970004336019,False
train,qbb,antiperovskite,-5.958607314841775,False
train,9ph,perovskites,-3.96657624451305,False
train,kkn,halides,-8.0,False
train,m0v,oxides,-7.219682687859849,False
train,6du,oxides,-7.761953896871205,False
train,u0c,oxides,-8.372634143407268,False
train,xub,oxides,-8.821023052706831,False
train,bjw,chlorides,-5.319664486585437,False
train,dvn,chlorides,-6.204815410317576,False
train,uxi,chlorides,-7.00436480540245,False
train,ek5,pyrochlore,-10.0,True
train,xut,pyrochlore,-10.0,True
train,ysm,pyrochlore,-10.0,True
train,e81,pyrochlore,-10.0,True
train,uaz,garnet,-5.795880017344075,False
train,ka6,garnet,-5.179798540514359,False
train,7o7,garnet,-4.530177984021837,False
train,2wb,garnet,-3.3279021420642825,False
train,hcm,garnet,-4.468521082957745,False
train,e6a,garnet,-3.161150909262745,False
train,kbq,garnet,-4.721246399047171,False
train,uw9,garnet,-4.698970004336019,False
train,vqu,garnet,-6.886056647693163,False
train,bi3,garnet,-5.200659450546418,False
train,gcj,garnet,-5.876148359032914,False
train,20k,garnet,-5.432973633840939,False
train,7w5,garnet,-3.0604807473813813,False
train,z2s,garnet,-4.4089353929735005,False
train,sqm,garnet,-5.1487416512809245,False
train,zxr,garnet,-5.267606240177032,False
train,h89,garnet,-4.823908740944319,False
train,l9r,garnet,-5.657577319177793,False
train,ueu,garnet,-3.0443122496864943,False
train,gz8,garnet,-4.798602875679548,False
train,419,garnet,-5.148130399270234,False
train,c0g,garnet,-5.286509456906058,False
train,kbu,garnet,-4.667561540084395,False
train,dae,garnet,-4.853871964321762,False
train,gkl,garnet,-5.294136287716081,False
train,o5q,Unknown,-3.552841968657781,False
train,tbj,garnet,-5.47755576649368,False
train,zzr,Unknown,-2.1191864077192086,False
train,kop,Unknown,-2.193820026016113,False
train,rty,Unknown,-2.318758762624413,False
train,kko,Unknown,-2.42021640338319,False
test,ro9,Borophosphates,-11.017728766960431,False
test,7cr,Borophosphates,-17.356547323513812,False
test,mdp,Unknown,-2.494850021680094,False
test,de5,Halide,-2.6903698325741012,False
test,cfy,thio-LISICON,-10.10790539730952,False
test,elz,halides,-2.7166987712964503,False
test,p81,halides,-6.0,False
test,ecp,Lanthanumlithiumoxide,-10.0,True
test,me3,Lanthanumlithiumoxide,-9.201349354554731,False
test,zs0,Lanthanumlithiumoxide,-9.138465589140962,False
test,ard,oxides,-2.795880017344075,False
test,9n0,perovskites,-4.954677021213342,False
test,h5i,perovskites,-4.91721462968355,False
test,2uv,Chalcogenidotetrelates,-4.698970004336019,False
test,2r7,molybdates,-8.496209316942819,False
test,b56,molybdates,-10.0,True
test,mfu,molybdates,-9.229884705212898,False
test,i47,sulfides,-7.267606240177032,False
test,vwy,perovskites,-3.175223537524454,False
test,xq3,perovskites,-10.0,True
test,wgw,perovskites,-10.0,True
test,ipo,garnet,-6.006563769502388,False
test,bnu,oxides,-10.0,True
test,kxw,oxides,-10.0,True
test,um1,oxides,-10.0,True
test,l2w,thio-phosphate,-7.086186147616283,False
test,ob9,thio-phosphate,-5.3979400086720375,False
test,ei3,halides,-3.2684112348132612,False
test,ux3,silicates,-10.0,True
test,br1,nitrides,-7.301029995663981,False
test,jy6,argyrodites,-9.0,False
test,24k,argyrodites,-3.958607314841775,False
test,mtr,garnet,-3.0291883891274822,False
test,s2v,garnet,-2.8601209135987635,False
test,4p7,antiperovskite,-1.6020599913279623,False
test,gwu,perovskites,-6.982966660701219,False
test,9o6,garnet,-3.4775557664936803,False
test,j5g,garnet,-3.72584215073632,False
test,dvb,garnet,-4.1944991418416,False
test,wa3,garnet,-3.595166283380062,False
test,l6h,garnet,-3.211831628858832,False
test,ar1,Unknown,-4.1249387366083,False
test,cz2,Unknown,-6.022276394711152,False
test,klr,Unknown,-4.443697499232712,False
test,o0a,Unknown,-5.221848749616356,False
test,aab,Unknown,-6.080921907623926,False
test,1ty,Unknown,-5.070581074285707,False
test,zv5,Unknown,-4.552841968657781,False
