ID,frac_H,frac_Li,frac_B,frac_C,frac_N,frac_O,frac_F,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_K,frac_Ca,frac_Sc,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Cu,frac_Zn,frac_Ga,frac_Ge,frac_Se,frac_Br,frac_Sr,frac_Y,frac_Zr,frac_Nb,frac_Mo,frac_Ag,frac_Cd,frac_In,frac_Sn,frac_Sb,frac_Te,frac_I,frac_Ba,frac_La,frac_Ce,frac_Pr,frac_Nd,frac_Sm,frac_Gd,frac_Er,frac_Lu,frac_Hf,frac_Ta,frac_W,frac_Pb,frac_Bi,comp_Z_mean,comp_Z_std,comp_Z_min,comp_Z_max,comp_atomic_mass_mean,comp_atomic_mass_std,comp_atomic_mass_min,comp_atomic_mass_max,comp_X_mean,comp_X_std,comp_X_min,comp_X_max,comp_row_mean,comp_row_std,comp_row_min,comp_row_max,comp_group_mean,comp_group_std,comp_group_min,comp_group_max,static_Z,static_Space group #,static_a,static_b,static_c,static_alpha,static_beta,static_gamma
0lo,0.0,0.05578512396694216,0.0,0.0,0.0,0.6198347107438017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2066115702479339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11776859504132231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.384297520661157,15.948556287232353,3.0,57.0,36.55276609504132,39.635344771889024,6.941,138.90547,2.634628099173554,1.0390798069257479,0.98,3.44,2.884297520661157,1.3887986522910452,2.0,6.0,11.152892561983471,6.221909759436629,1.0,16.0,2,123,3.873,3.873,7.75,90.0,90.0,90.0
0o6,0.0,0.06593406593406594,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.16483516483516483,0.0,0.0,0.0,0.0,0.01098901098901099,0.09890109890109891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.351648351648352,5.04348916894074,3.0,22.0,21.340388373626375,11.11295408276597,6.941,47.867,2.860989010989011,0.8519880499407718,0.98,3.44,2.3846153846153846,0.6756231274259076,2.0,4.0,13.516483516483516,4.993099936412551,1.0,16.0,6,167,8.527,8.527,20.924,90.0,90.0,120.0
0v9,0.0,0.24444444444444444,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777777777777778,0.0,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.333333333333332,18.978350238568623,3.0,57.0,37.2522388888889,46.379167040831966,6.941,138.90547,2.365111111111111,1.1609978892166135,0.98,3.44,2.8,1.514375558880073,2.0,6.0,9.71111111111111,6.891612364871832,1.0,16.0,8,199,12.821,12.821,12.821,90.0,90.0,90.0
0vd,0.0,0.018409090909090913,0.0,0.0,0.0,0.6198347107438017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2066115702479339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737603305785125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11776859504132231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02884297520661,16.732894148806952,3.0,57.0,40.32502445867769,41.40105834051539,6.941,138.90547,2.6701353305785123,0.9973241328176665,0.98,3.44,2.996425619834711,1.4332704152777893,2.0,6.0,11.526652892561984,5.892416364705877,1.0,16.0,2,47,3.882,3.867,7.791,90.0,90.0,90.0
0x9,0.0,0.06593406593406594,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.16483516483516483,0.0,0.0,0.0,0.0,0.01098901098901099,0.09890109890109891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.351648351648352,5.04348916894074,3.0,22.0,21.340388373626375,11.11295408276597,6.941,47.867,2.860989010989011,0.8519880499407718,0.98,3.44,2.384615384615385,0.6756231274259076,2.0,4.0,13.516483516483516,4.993099936412551,1.0,16.0,6,167,8.536,8.536,20.922,90.0,90.0,120.0
0y6,0.0,0.08602150537634408,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,0.0,0.03225806451612903,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07526881720430106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,6.863231210758512,3.0,32.0,22.252935976344084,15.79502796819831,6.941,72.64,2.86010752688172,0.8356164354221661,0.98,3.44,2.344086021505376,0.6133746536323295,2.0,4.0,14.301075268817204,4.1498411583452075,1.0,16.0,6,167,8.265,8.265,20.64,90.0,90.0,120.0
10s,0.0,0.4756554307116105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026217228464419474,0.04868913857677903,0.37453183520599254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749063670411985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.13857677902622,9.162264382299073,3.0,35.0,23.540615752808993,19.986933715387647,6.941,79.904,1.81059925093633,0.8099662547181893,0.98,2.96,2.5992509363295886,0.6244693633158452,2.0,4.0,8.838951310861425,7.481331298731175,1.0,17.0,4,216,10.0468,10.0468,10.0468,90.0,90.0,90.0
10u,0.0,0.39024390243902446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02439024390243903,0.09756097560975611,0.48780487804878053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.780487804878048,6.237229666156911,3.0,16.0,22.056988975609755,12.110743030218668,6.941,32.065,1.9009756097560973,0.7510441670557935,0.98,2.58,2.6097560975609753,0.4878048780487804,2.0,3.0,9.999999999999998,7.211102550927978,1.0,16.0,24,11,13.0804,24.1028,12.2338,90.0,90.03,90.0
11b,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.196152422706632,3.0,15.0,12.9491905,10.406491207552657,6.941,30.973762,1.2825,0.5239453692895853,0.98,2.19,2.25,0.4330127018922193,2.0,3.0,4.5,6.06217782649107,1.0,15.0,2,194,4.273,4.273,7.594,90.0,90.0,120.0
122,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.000000000000002,6.492599337233599,3.0,17.0,20.645981692307693,12.72441587574028,6.941,35.453,1.8561538461538463,0.8337638335749008,0.98,3.16,2.5384615384615388,0.49851851526214314,2.0,3.0,9.076923076923078,7.488057553007974,1.0,17.0,4,216,9.898,9.898,9.898,90.0,90.0,90.0
13q,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.08,9.92741658237429,3.0,50.0,25.393900959999996,22.547108307459794,6.941,118.71,1.884,0.7530790131188095,0.98,2.58,2.6799999999999997,0.6764613810115105,2.0,5.0,9.84,7.231486707448199,1.0,16.0,2,137,8.73685,8.73685,12.7573,90.0,90.0,90.0
1dm,0.0,0.08602150537634408,0.0,0.0,0.0,0.6451612903225806,0.0,0.0,0.0,0.03225806451612903,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07526881720430106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,6.863231210758512,3.0,32.0,22.252935976344084,15.79502796819831,6.941,72.64,2.86010752688172,0.8356164354221661,0.98,3.44,2.344086021505376,0.6133746536323295,2.0,4.0,14.301075268817204,4.1498411583452075,1.0,16.0,6,167,8.2526,8.2526,20.6831,90.0,90.0,120.0
1e9,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.428571428571427,15.719479661118763,3.0,51.0,34.11114285714285,37.625090885238386,6.941,121.76,1.8185714285714285,0.746657859520459,0.98,2.58,2.8571428571428568,0.989743318610787,2.0,5.0,9.428571428571427,7.306692487168241,1.0,16.0,4,33,7.9671,6.7883,10.0912,90.0,90.0,90.0
1hh,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36,7.509354166637768,3.0,32.0,23.55110096,15.682734537270552,6.941,72.64,1.8860000000000001,0.7533445426894656,0.98,2.58,2.64,0.5571355310873648,2.0,4.0,9.84,7.231486707448199,1.0,16.0,2,137,8.69407,8.69407,12.5994,90.0,90.0,90.0
1kq,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.33076923076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05384615384615384,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.353846153846153,10.487986928981424,3.0,35.0,26.590404769230766,23.577737522180254,6.941,79.904,1.8391538461538461,0.8096552301541542,0.98,2.96,2.6692307692307695,0.6949096403734976,2.0,4.0,9.076923076923077,7.488057553007973,1.0,17.0,4,216,10.0265,10.0265,10.0265,90.0,90.0,90.0
1m8,0.0,0.49275362318840576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.36231884057971014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.188405797101453,13.763294350247714,3.0,53.0,28.893842202898554,32.376091722707145,6.941,126.90447,1.7586956521739134,0.7800072705783001,0.98,2.66,2.7101449275362324,0.8698067297462991,2.0,5.0,8.550724637681162,7.463022335049719,1.0,17.0,4,216,10.2998,10.2998,10.2998,90.0,90.0,90.0
1pw,0.0,0.06748466257668713,0.0,0.0,0.0,0.6012269938650308,0.012269938650306749,0.0,0.0,0.012269938650306749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19222903885480572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114519427402863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.038854805725972,15.81205189694233,3.0,57.0,35.76065556400818,39.26520970539111,6.941,138.90547,2.6249488752556243,1.0534514543686453,0.98,3.98,2.85480572597137,1.372153090351764,2.0,6.0,11.167689161554193,6.2442201477104184,1.0,17.0,2,99,3.8722,3.8722,7.73,90.0,90.0,90.0
1sz,0.0,0.06748466257668712,0.0,0.0,0.0,0.607361963190184,0.0061349693251533735,0.0,0.0,0.0061349693251533735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19836400817995908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11451942740286299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0879345603272,15.820000983321147,3.0,57.0,35.87038843640082,39.279039748315626,6.941,138.90547,2.6212065439672805,1.050456311538973,0.98,3.98,2.8609406952965237,1.375021076083249,2.0,6.0,11.106339468302659,6.262242871568603,1.0,17.0,2,99,3.8692,3.8692,7.7434,90.0,90.0,90.0
1tk,0.0,0.26724137931034486,0.0,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12931034482758622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.793103448275861,18.627249802270732,3.0,57.0,36.03783663793104,45.54314256384457,6.941,138.90547,2.3124137931034485,1.1786130223111717,0.98,3.44,2.775862068965518,1.497619990567515,2.0,6.0,9.310344827586208,6.991884203037129,1.0,16.0,8,230,12.9532,12.9532,12.9532,90.0,90.0,90.0
1ty,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.64283279771532,3.0,34.0,30.617666666666665,26.565391416486055,6.941,78.96,1.802222222222222,0.7543470727542061,0.98,2.58,2.7777777777777777,0.7856742013183862,2.0,4.0,9.11111111111111,7.279261935181866,1.0,16.0,4,62,14.25036,7.85208,6.22238,90.0,90.0,90.0
1wm,0.0,0.06593406593406594,0.0,0.0,0.0,0.6593406593406593,0.0,0.0,0.0,0.0,0.0,0.16483516483516483,0.0,0.0,0.0,0.0,0.01098901098901099,0.09890109890109891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.351648351648352,5.04348916894074,3.0,22.0,21.340388373626375,11.11295408276597,6.941,47.867,2.860989010989011,0.8519880499407718,0.98,3.44,2.384615384615385,0.6756231274259076,2.0,4.0,13.516483516483516,4.993099936412551,1.0,16.0,6,167,8.5482,8.5482,20.9418,90.0,90.0,120.0
