ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude,kernel_split
68u,Li5La3Nb2O12,8,Li40.0La24.0Nb16.0O96.0,8e-06,,, I213,199,12.762,12.762,12.762,90.0,90.0,90.0,garnet,10.1111/j.1551-2916.2005.00060.x,1,D2 - 159;D1- 814,done,,,,Yes,10.1016/0025-5408(88)90264-4,202768.0,159.0,610.0,train,8e-06,False,8e-06,8e-06,8e-06,-5.096910013008056,-5.096910013008056,-5.096910013008056,train
6du,(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,8,Li10.14Mg0.8Ti13.07O32.0,1.73e-08,,,Fd-3m,227,8.3649,8.3649,8.3649,90.0,90.0,90.0,oxides,10.1016/j.ssi.2010.06.003,1,D2 - 164,done,ICSD ,,,,,168139.0,164.0,,train,1.73e-08,False,1.73e-08,1.73e-08,1.73e-08,-7.761953896871205,-7.761953896871205,-7.761953896871205,train
6jf,Li6PS5Br,4,Li24.0P4.0S20.0Br4.0,0.00115,,,F-43m,216,10.02,10.02,10.02,90.0,90.0,90.0,argyrodites,10.1021/jacs.7b06327,1,D2 - 167,done,ICSD ,,,,,259202.0,167.0,,train,0.00115,False,0.00115,0.00115,0.00115,-2.939302159646388,-2.939302159646388,-2.939302159646388,train
6l9,Li4B7O12Cl,8,Li32.0B56.0O96.0Cl8.0,2e-06,2e-06,,F-43c,219,12.167,12.167,12.167,90.0,90.0,90.0,boracites,10.1107/s0567740877009443,1,D2 - 179; D1 - 730,done,ICSD ,,,,,,179.0,,train,2e-06,False,2e-06,2e-06,2e-06,-5.698970004336019,-5.698970004336019,-5.698970004336019,train
7e5,La0.65Li0.05(Mg0.5W0.5)O3,4,La2.6Li0.2Mg2.0W2.0O12.0,1.8e-07,,,P4/nmm ,129,5.533,5.533,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151900-ICSD,,partial occupancy corrected,,,151900.0,100.0,,train,1.8e-07,False,1.8e-07,1.8e-07,1.8e-07,-6.7447274948966935,-6.7447274948966935,-6.7447274948966935,train
7ek,Li3.70Ge0.85W0.15O4,4,Li14.8Ge3.4W0.6O16.0,3.8e-05,,,Pnma,62,10.938,6.274,5.1609,90.0,90.0,90.0,LISICON,10.1023/a:1026135806929,1,D2 - 73,done,150920-ICSD,,partial occupancy corrected,,,150920.0,73.0,,train,3.8e-05,False,3.8e-05,3.8e-05,3.8e-05,-4.42021640338319,-4.42021640338319,-4.42021640338319,train
7o7,Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,2.95e-05,2.95e-05,4.247e-05,Ia-3d ,230,12.9748,12.9748,12.9748,90.0,90.0,90.0,garnet,10.1007/s11581-007-0097-8,1,D2 - 201,done,ICSD not the same paper,,lattice parameter double check,Yes,10.1021/am4060194,237201.0,201.0,,train,2.95e-05,False,2.95e-05,2.95e-05,2.95e-05,-4.530177984021837,-4.530177984021837,-4.530177984021837,train
7tu,Li10.2(Sn0.2Si0.8)1.2P1.8S12,2,Li20.4Sn0.48Si1.92P3.6S24.0,0.00782,,,P42/nmc ,137,8.65173,8.65173,12.5349,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,,,appendix: diffraction data available,,,257948.0,111.0,,train,0.00782,False,0.00782,0.00782,0.00782,-2.106793246940152,-2.106793246940152,-2.106793246940152,train
7w5,Li6.75La3Zr1.75Ta0.25O12,8,Li54.0La24.0Zr14.0Ta2.0O96.0,0.00087,,,Ia-3d ,230,12.96,12.96,12.96,90.0,90.0,90.0,garnet,10.1016/j.jpowsour.2012.01.131,1,D2 - 219,done,,,,Yes,10.1039/c1jm14588f,183873.0,219.0,,train,0.00087,False,0.00087,0.00087,0.00087,-3.0604807473813813,-3.0604807473813813,-3.0604807473813813,train
824,Li10.35Ge1.35P1.65S12,2,Li20.7Ge2.7P3.3S24.0,0.0144,,,P42/nmc ,137,8.713023,8.713023,12.639695,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,done,193947-ICSD,,,,,193947.0,104.0,,train,0.0144,False,0.0144,0.0144,0.0144,-1.8416375079047504,-1.8416375079047504,-1.8416375079047504,train
883,LiAlH4,4,Li4.0Al4.0H16.0,8.7e-09,,,P21/c,14,4.8254,7.804,7.8968,90.0,112.268,90.0,hydrides,10.1063/1.3356981,1,D1 - 727,done,95202-ICSD,,,,,95202.0,,727.0,train,8.7e-09,False,8.7e-09,8.7e-09,8.7e-09,-8.060480747381382,-8.060480747381382,-8.060480747381382,train
8ub,Li10.5(Sn0.2Si0.8)1.5P1.5S12,2,Li21.0Sn0.6Si2.4P3.0S24.0,0.00879,,,P42/nmc ,137,8.69204,8.69204,12.6166,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.7b00886,1,D2 - 111,done,257947-ICSD,,appendix: diffraction data available,,,257947.0,111.0,,train,0.00879,False,0.00879,0.00879,0.00879,-2.0560111249262283,-2.0560111249262283,-2.0560111249262283,train
95j,Li3AlH6,6,Li18.0Al6.0H36.0,1.4e-07,,, R-3,148,8.07117,8.07117,9.513,90.0,90.0,120.0,hydrides,10.1063/1.3356981,1,D1 - 727,done,96266-ICSD,,,,,96266.0,,727.0,train,1.4e-07,False,1.4e-07,1.4e-07,1.4e-07,-6.853871964321762,-6.853871964321762,-6.853871964321762,train
96f,Li6P(S4.4Se0.6)Br,4,Li24.0P4.0S17.6Se2.4Br4.0,0.00278,,,F-43m,216,10.0259,10.0259,10.0259,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267199.0,172.0,,train,0.00278,False,0.00278,0.00278,0.00278,-2.555955204081924,-2.555955204081924,-2.555955204081924,train
97b,Li0.9Sc0.9Zr0.1O2,4,Li3.6Sc3.6Zr0.4O8.0,<1E-10,,, I41/amd,141,4.1804,4.1804,9.4186,90.0,90.0,90.0,oxides,10.2320/matertrans.y-m2016816,1,D2 - 117,done,257820-ICSD,,ICSD request,,,257820.0,117.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
97p,Li6PS5Cl,4,Li24.0P4.0S20.0Cl4.0,3.3e-05,,,F-43m,216,9.85,9.85,9.85,90.0,90.0,90.0,argyrodites,10.1002/pssa.201001117,1,D2 - 174,done,ICSD not the same paper,,,Yes,10.1021/acs.inorgchem.0c01504,142473.0,174.0,,train,3.3e-05,False,3.3e-05,3.3e-05,3.3e-05,-4.481486060122113,-4.481486060122113,-4.481486060122113,train
9ky,Li(Ti0.6Sn1.4)(PO4)3,6,Li6.0Ti3.6Sn8.4P18.0O72.0,9.42e-06,,,R-3c,167,8.5983,8.5983,21.2868,90.0,90.0,120.0,NASICON,10.1016/j.physb.2011.11.006,1,D2 - 135,done,183676-ICSD,,partial occupancy corrected,,,183676.0,135.0,,train,9.42e-06,False,9.42e-06,9.42e-06,9.42e-06,-5.025949097207123,-5.025949097207123,-5.025949097207123,train
9lo,Li3PO4,4,Li12.0P4.0O16.0,1.75e-13,,,Pnma,62,10.4772,6.1179,4.9297,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,refer 79427-ICSD,,,Yes,ICSD-77095,77095.0,,445.0,train,1.75e-13,False,1.75e-13,1.75e-13,1.75e-13,-12.756961951313706,-12.756961951313706,-12.756961951313706,train
9ph,Li0.19La0.67(Ti0.9Co0.1)O3,4,Li0.76La2.68Ti3.6Co0.4O12.0,0.000108,,,Fm-3m,225,7.7722,7.7722,7.7722,90.0,90.0,90.0,perovskites,10.1016/j.mseb.2004.07.003,1,D2 - 182,done,ICSD ,,,,,151535.0,182.0,,train,0.000108,False,0.000108,0.000108,0.000108,-3.96657624451305,-3.96657624451305,-3.96657624451305,train
9rc,Li10(Ge0.776Sn0.224)P2S12,2,Li20.0Ge1.55Sn0.45P4.0S24.0,0.0141,,,P42/nmc ,137,8.71859,8.71859,12.6514,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,,train,0.0141,False,0.0141,0.0141,0.0141,-1.85078088734462,-1.85078088734462,-1.85078088734462,train
9s4,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.000722,,,R-3c,167,8.5004,8.5004,20.8156,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1021/acs.chemmater.9b04419,141518.0,134.0,,train,0.000722,False,0.000722,0.000722,0.000722,-3.141462802430361,-3.141462802430361,-3.141462802430361,train
9wf,Li3ErI6,4,Li12.0Er4.0I24.0,0.00065,,,C2/c,15,7.413,12.838,14.2,90.0,100.01,90.0,halides,10.1021/acsaem.0c00147,1,D2 - 50,done,,,"appendix: diffraction data available, D_0 calculation",,,,50.0,,train,0.00065,False,0.00065,0.00065,0.00065,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443,train
9zk,Li5GaO4,8,Li40.0Ga8.0O32.0,5e-09,,,Pbca,61,9.173,9.094,9.202,90.0,90.0,90.0,oxides,10.1016/0025-5408(76)90169-0,1,D2 - 64,done,9082-ICSD,,,,,9082.0,64.0,,train,5e-09,False,5e-09,5e-09,5e-09,-8.301029995663981,-8.301029995663981,-8.301029995663981,train
9zr,Li6PS5Br,4,Li24.0P4.0S20.0Br4.0,0.000701,,,F-43m,216,9.9773,9.9773,9.9773,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 167,done,ICSD ,,,,,234584.0,168.0,,train,0.000701,False,0.000701,0.000701,0.000701,-3.1542819820333414,-3.1542819820333414,-3.1542819820333414,train
a8v,Li6.025P0.975Si0.025S5Br,4,Li24.1P3.9Si0.1S20.0Br4.0,0.000878,,,F-43m,216,9.9819,9.9819,9.9819,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234585.0,168.0,,train,0.000878,False,0.000878,0.000878,0.000878,-3.0565054840938974,-3.0565054840938974,-3.0565054840938974,train
an2,Li6SiO4Cl2,4,Li24.0Si4.0O16.0Cl8.0,1e-10,,,Pna21,33,10.5204,6.0756,9.953,90.0,90.0,90.0,argyrodite,10.1021/acs.chemmater.1c00157,1,D1 - 915,done,appendix,,,,,,,772.0,train,1e-10,False,1e-10,1e-10,1e-10,-10.0,-10.0,-10.0,train
aui,Li2CoGe3O8,4,Li8.0Co4.0Ge12.0O32.0,<1E-10,,,P4332,212,8.2098,8.2098,8.2098,90.0,90.0,90.0,oxides,10.1039/a800234g,1,D2 - 163,done,ICSD ,,,,,86167.0,163.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
be9,LiGaBr4,4,Li4.0Ga4.0Br16.0,7e-06,,,P21/c,14,13.696,6.854,7.416,90.0,93.14,90.0,halides,10.1016/s0167-2738(00)00491-4,1,D2 - 25,done,61337-ICSD,,,,,61337.0,25.0,,train,7e-06,False,7e-06,7e-06,7e-06,-5.154901959985743,-5.154901959985743,-5.154901959985743,train
bi3,Li6SrLa2Sb2O12,8,Li48.0Sr8.0La16.0Sb16.0O96.0,6.3e-06,6.3e-06,6.6e-06,Ia-3d ,230,12.8933,12.8933,12.8933,90.0,90.0,90.0,garnet,10.1016/j.materresbull.2007.10.035,1,D2 - 216,done,ICSD ,,,,,161343.0,216.0,,train,6.3e-06,False,6.3e-06,6.3e-06,6.3e-06,-5.200659450546418,-5.200659450546418,-5.200659450546418,train
bjw,Li2MnCl4,8,Li16.0Mn8.0Cl32.0,4.79e-06,,,Fd-3m,227,10.481,10.481,10.481,90.0,90.0,90.0,chlorides,10.1016/0167-2738(83)90223-0,1,D2 - 166,done,ICSD not the same paper,,,Yes,ICSD-69678,69678.0,166.0,,train,4.79e-06,False,4.79e-06,4.79e-06,4.79e-06,-5.319664486585437,-5.319664486585437,-5.319664486585437,train
bnh,Li6.1P0.95Si0.1S5Br,4,Li24.4P3.8Si0.4S20.0Br4.0,0.000799,,,F-43m,216,10.0024,10.0024,10.0024,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234588.0,168.0,,train,0.000799,False,0.000799,0.000799,0.000799,-3.097453220686009,-3.097453220686009,-3.097453220686009,train
bq9,Li3BiO3,8,Li24.0Bi8.0O24.0,2.4e-10,,,P -1,2,9.02743,9.7388,9.23917,114.04632,89.29499,107.53782,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,40245-ICSD,,D - Rhi - 1_si_1_ Li3BiO3,Yes,10.1002/zaac.19895760119,40245.0,30.0,,train,2.4e-10,False,2.4e-10,2.4e-10,2.4e-10,-9.619788758288394,-9.619788758288394,-9.619788758288394,train
bsa,LiGaO2,4,Li4.0Ga4.0O8.0,2.4e-14,,,Pna21,33,5.402,6.372,5.007,90.0,90.0,90.0,oxides,10.1007/bf00549810,1,D2 - 53,done,18152-ICSD,,check cif file matching,,,18152.0,53.0,,train,2.4e-14,False,2.4e-14,2.4e-14,2.4e-14,-13.619788758288394,-13.619788758288394,-13.619788758288394,train
bv2,LiYO2,4,Li4.0Y4.0O8.0,1.8e-08,,,P21/c,14,6.12,6.185,6.21,90.0,118.8,90.0,oxides,10.1016/0167-2738(81)90021-7,1,D2 - 33,done,45511-ICSD,,check cif file matching,,,45511.0,33.0,,train,1.8e-08,False,1.8e-08,1.8e-08,1.8e-08,-7.7447274948966935,-7.7447274948966935,-7.7447274948966935,train
c0g,Li5.5La3Ta1.75Sm0.25O12,8,Li44.0La24.0Ta14.0Sm2.0O96.0,5.17e-06,,,Ia-3d ,230,12.8206,12.8206,12.8206,90.0,90.0,90.0,garnet,10.1021/acs.inorgchem.7b00816,1,D2 - 231,done,ICSD ,,,,,259166.0,231.0,,train,5.17e-06,False,5.17e-06,5.17e-06,5.17e-06,-5.286509456906058,-5.286509456906058,-5.286509456906058,train
