ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude,family,intended_formula_OBELiX,expected_formula_counts_json,spectrum_file,production_structure_file,production_structure_selection,production_structure_score,source_structure_file,source_structure_selection,source_structure_score,source_structure_role,eigen_file,eigen_selection,eigen_score,audit_status,production_parser,production_formula,production_reduced_formula,production_n_sites,production_volume_A3,production_volume_per_site_A3,production_density_g_cm3,production_min_distance_A,geometry_status,production_is_ordered,production_partial_or_mixed_sites,production_mixed_species_sites,production_underoccupied_sites,production_overoccupied_sites,composition_status,scale_all,framework_scale_raw,framework_scale_formula_units,framework_scale_nearest_integer,framework_scale_integer_deviation,framework_scale_anchor_elements,max_relative_stoich_error,framework_max_relative_stoich_error,max_absolute_count_error_atoms,framework_max_absolute_count_error_atoms,n_elements_outside_pass_tolerance,n_elements_outside_warn_tolerance,composition_total_variation_error,expected_Li_at_framework_scale,actual_Li,Li_count_error,Li_absolute_count_error,Li_relative_error,missing_elements,extra_elements,expected_counts_at_framework_scale_json,actual_counts_json,actual_minus_expected_json,element_absolute_errors_json,element_relative_errors_json,element_pass_flags_json,element_warn_flags_json,neutral_oxidation_guess_status,neutral_oxidation_guess_json,source_parser,source_formula,source_reduced_formula,source_counts_json,source_is_ordered,source_partial_or_mixed_sites,source_mixed_species_sites,source_underoccupied_sites,source_comparison_to_OBELiX,source_Li_relative_error_to_OBELiX,spectrum_n_frequency_points,spectrum_min_plotted_frequency_THz,spectrum_max_plotted_frequency_THz,spectrum_median_native_spacing_THz,spectrum_max_native_spacing_THz,spectrum_points_0_to_100_THz,spectrum_total_positive_area_0_to_100,spectrum_Li_positive_area_0_to_100,spectrum_coarse_grid_flag,spectrum_high_max_frequency_flag,spectrum_very_high_max_frequency_flag,spectrum_negative_plotted_grid_endpoint_flag,eligible_primary_audit,eligible_strict_audit,eligible_exact_audit,source_folder,li_file,total_file,selection_score,has_paired_spectrum,has_target_limit_policy,included_primary,included_strict,included_exact,primary_exclusion_reason
pfi,Li9.4Ba0.3GeP2S12,2,Li18.8Ba0.6Ge2.0P4.0S24.0,0.000707,,,P42/nmc ,137,8.734,8.734,13.005,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.000707,False,,0.000707,0.000707,0.000707,-3.1505805862031004,-3.1505805862031004,-3.1505805862031004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
f0h,Li9.2Ba0.4GeP2S12,2,Li18.4Ba0.8Ge2.0P4.0S24.0,0.000316,,,P42/nmc ,137,8.752,8.752,13.011,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,0.000316,False,,0.000316,0.000316,0.000316,-3.500312917381596,-3.500312917381596,-3.500312917381596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
7iw,Li9Ba0.5GeP2S12,2,Li18.0Ba1.0Ge2.0P4.0S24.0,9.98e-05,,,P42/nmc ,137,8.77,8.77,13.053,90.0,90.0,90.0,LGPS,10.1016/j.ssi.2017.01.014,1,D2 - 112,not available,,,,,,,112.0,,train,9.98e-05,False,,9.98e-05,9.98e-05,9.98e-05,-4.000869458712629,-4.000869458712629,-4.000869458712629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
ikh,Li9.6P3S12,2,Li19.2P6.0S24.0,0.0012,,,P42/nmc ,137,8.7144,8.7144,12.4677,90.0,90.0,90.0,LGPS,10.1038/nenergy.2016.30,1,D1 - 25,not available,,,appendix: diffraction data available,,,,102.0,25.0,train,0.0012,False,,0.0012,0.0012,0.0012,-2.9208187539523753,-2.9208187539523753,-2.9208187539523753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
hd3,Li7GePS8,2,Li14.0Ge2.0P2.0S16.0,0.007,,,P42/nmc ,137,8.718,8.718,12.66,90.0,90.0,90.0,LGPS,10.1039/c3ee41728j,1,D2 - 251,not available,,,,,,,251.0,,train,0.007,False,,0.007,0.007,0.007,-2.154901959985743,-2.154901959985743,-2.154901959985743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
ete,Li9.54Si1.74P1.44S11.7Cl0.3,2,Li19.08Si3.48P2.88S23.4Cl0.6,0.025,,,P42/nmc ,137,8.709652,8.709652,12.56907,90.0,90.0,90.0,LGPS,10.1038/nenergy.2016.30,1,D1 - 25,not available,,,appendix: diffraction data available,,,,,26.0,train,0.025,False,,0.025,0.025,0.025,-1.6020599913279623,-1.6020599913279623,-1.6020599913279623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
2ro,Li4P2S6,1,Li4.0P2.0S6.0,1.6e-10,,,P-31m,162,6.0773,6.0773,6.5985,90.0,90.0,120.0,thio-phosphate,10.1021/acs.chemmater.6b04175,1,D2 - 128,not available,,,could be deleted; glass ceramic,,,,128.0,652.0,train,1.6e-10,False,,1.6e-10,1.6e-10,1.6e-10,-9.795880017344075,-9.795880017344075,-9.795880017344075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
0o6,Li1.2Ti1.8Sc0.2(PO4)3,6,Li7.2Ti10.8Sc1.2P18.0O72.0,9.98e-05,9.98e-05,0.00251,R-3c,167,8.527,8.527,20.924,90.0,90.0,120.0,Unknown,10.1021/acs.inorgchem.6b02274,1,D2 - 132,done,,,,,,119210.0,132.0,,train,9.98e-05,False,,9.98e-05,9.98e-05,9.98e-05,-4.000869458712629,-4.000869458712629,-4.000869458712629,,Li1.2Ti1.8Sc0.2(PO4)3,"{""Li"": 1.2, ""O"": 12.0, ""P"": 3.0, ""Sc"": 0.2, ""Ti"": 1.8}",/content/obelix_composition_audit/combined_option_a_spectra/train/0o6/0o6_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6/relaxed_0o6.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6/ordered_adaptive_0o6.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,WARN_SHORT_DISTANCE,pymatgen_structure,Li7 Sc1 Ti11 P18 O72,Li7ScTi11(PO4)18,109.0,1418.5468559946514,13.014191339400472,2.726968608694908,0.7972071046824722,WARN_SHORT_DISTANCE,True,0.0,0.0,0.0,0.0,PASS_INTEGERIZED_COMPOSITION,6.0,6.0,6.0,6.0,0.0,Ti;P;O,0.1666666666666668,0.1666666666666668,0.2000000000000001,0.2000000000000001,0.0,0.0,0.0035285815102329,7.199999999999999,7.0,-0.1999999999999993,0.1999999999999993,-0.0277777777777776,,,"{""Li"": 7.2, ""O"": 72.0, ""P"": 18.0, ""Sc"": 1.2, ""Ti"": 10.8}","{""Li"": 7.0, ""O"": 72.0, ""P"": 18.0, ""Sc"": 1.0, ""Ti"": 11.0}","{""Li"": -0.2, ""O"": 0.0, ""P"": 0.0, ""Sc"": -0.2, ""Ti"": 0.2}","{""Li"": 0.2, ""O"": 0.0, ""P"": 0.0, ""Sc"": 0.2, ""Ti"": 0.2}","{""Li"": 0.02777778, ""O"": 0.0, ""P"": 0.0, ""Sc"": 0.16666667, ""Ti"": 0.01851852}","{""Li"": true, ""O"": true, ""P"": true, ""Sc"": true, ""Ti"": true}","{""Li"": true, ""O"": true, ""P"": true, ""Sc"": true, ""Ti"": true}",error,Composition Li7 Sc1 Ti11 P18 O72 cannot accommodate max_sites setting!,pymatgen_structure,Li7 Sc1 Ti11 P18 O72,Li7ScTi11(PO4)18,"{""Li"": 7.0, ""O"": 72.0, ""P"": 18.0, ""Sc"": 1.0, ""Ti"": 11.0}",True,0.0,0.0,0.0,PASS_INTEGERIZED_COMPOSITION,-0.0277777777777776,201.0,-55.84875812472143,607.9584264201578,3.319035922724396,3.319035922724538,30.0,292.09845042836923,15.66703118959528,True,True,True,True,False,False,False,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6/Lithium_PDOS_0o6.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/0o6/Total_DOS_0o6.csv,980.0,True,True,False,False,False,audit:PASS_INTEGERIZED_COMPOSITION/WARN_SHORT_DISTANCE
a3l,LiHf2(PO4)3,6,Li6.0Hf12.0P18.0O72.0,2.83e-07,,,R-3c,167,8.824,8.824,22.04,90.0,90.0,120.0,NASICON,10.1002/chin.199345017,1,D2 -2,not available,,,,,,,2.0,,train,2.83e-07,False,,2.83e-07,2.83e-07,2.83e-07,-6.54821356447571,-6.54821356447571,-6.54821356447571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
qea,LiTi2(PO4)3,6,Li6.0Ti12.0P18.0O72.0,2e-06,,,R-3c,167,8.512,8.512,20.858,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,2e-06,False,,2e-06,2e-06,2e-06,-5.698970004336019,-5.698970004336019,-5.698970004336019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
tjh,Li1.7Al0.7Ge1.3(PO4)3,6,Li10.2Al4.2Ge7.8P18.0O72.0,0.000264,,,R-3c,167,8.25247,8.25247,20.6936,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263765-ICSD,downloaded,,,,263765.0,133.0,,train,0.000264,False,,0.000264,0.000264,0.000264,-3.5783960731301687,-3.5783960731301687,-3.5783960731301687,NASICON,Li1.7Al0.7Ge1.3(PO4)3,"{""Al"": 0.7, ""Ge"": 1.3, ""Li"": 1.7, ""O"": 12.0, ""P"": 3.0}",/content/obelix_composition_audit/combined_option_a_spectra/train/tjh/tjh_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/tjh/relaxed_tjh.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/tjh/ordered_sqs_like_tjh.cif,automatic_same_folder,2150.0,fallback_unverified_source_candidate,,missing,,FAIL_GENERAL_STOICHIOMETRY,pymatgen_structure,Li9 Al3 Ge9 P18 O72,Li3AlGe3(PO4)6,111.0,1285.415779115551,11.580322334374332,3.2381769602547745,1.4996767211937043,PASS,True,0.0,0.0,0.0,0.0,FAIL_GENERAL_STOICHIOMETRY,6.0,6.0,6.0,6.0,0.0,Ge;P;O,0.2857142857142856,0.2857142857142856,1.1999999999999993,1.1999999999999993,3.0,3.0,0.0202341378811967,10.2,9.0,-1.1999999999999993,1.1999999999999993,-0.1176470588235293,,,"{""Al"": 4.2, ""Ge"": 7.8, ""Li"": 10.2, ""O"": 72.0, ""P"": 18.0}","{""Al"": 3.0, ""Ge"": 9.0, ""Li"": 9.0, ""O"": 72.0, ""P"": 18.0}","{""Al"": -1.2, ""Ge"": 1.2, ""Li"": -1.2, ""O"": 0.0, ""P"": 0.0}","{""Al"": 1.2, ""Ge"": 1.2, ""Li"": 1.2, ""O"": 0.0, ""P"": 0.0}","{""Al"": 0.28571429, ""Ge"": 0.15384615, ""Li"": 0.11764706, ""O"": 0.0, ""P"": 0.0}","{""Al"": false, ""Ge"": false, ""Li"": false, ""O"": true, ""P"": true}","{""Al"": false, ""Ge"": false, ""Li"": false, ""O"": true, ""P"": true}",neutral_assignment_found,"{""Al"": 3.0, ""Ge"": 4.0, ""Li"": 1.0, ""O"": -2.0, ""P"": 5.0}",pymatgen_structure,Li9 Al3 Ge9 P18 O72,Li3AlGe3(PO4)6,"{""Al"": 3.0, ""Ge"": 9.0, ""Li"": 9.0, ""O"": 72.0, ""P"": 18.0}",True,0.0,0.0,0.0,FAIL_GENERAL_STOICHIOMETRY,-0.1176470588235293,201.0,-3.710992269237255,40.8209145811356,0.2226595342518642,0.2226595342518749,184.0,350.7933630432435,27.150353405338947,False,False,False,True,False,False,False,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/tjh,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/tjh/Lithium_PDOS_tjh.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/tjh/Total_DOS_tjh.csv,980.0,True,True,False,False,False,audit:FAIL_GENERAL_STOICHIOMETRY/PASS
8fn,Li1.8Al0.8Ge1.2(PO4)3,6,Li10.8Al4.8Ge7.2P18.0O72.0,0.000137,,,R-3c,167,8.25004,8.25004,20.7062,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263766-ICSD,downloaded,,,,263766.0,133.0,,train,0.000137,False,,0.000137,0.000137,0.000137,-3.8632794328435933,-3.8632794328435933,-3.8632794328435933,NASICON,Li1.8Al0.8Ge1.2(PO4)3,"{""Al"": 0.8, ""Ge"": 1.2, ""Li"": 1.8, ""O"": 12.0, ""P"": 3.0}",/content/obelix_composition_audit/combined_option_a_spectra/train/8fn/8fn_combined_Total_DOS_Li_PDOS.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/8fn/relaxed_8fn.cif,automatic_same_folder,5200.0,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/8fn/ordered_adaptive_8fn.cif,automatic_same_folder,5150.0,ordered_pre_relaxation_structure,,missing,,FAIL_GENERAL_STOICHIOMETRY,pymatgen_structure,Li9 Al3 Ge9 P18 O72,Li3AlGe3(PO4)6,111.0,1281.537609162803,11.54538386633156,3.2479762829583394,1.5000828117822234,PASS,True,0.0,0.0,0.0,0.0,FAIL_GENERAL_STOICHIOMETRY,6.0,6.0,6.0,6.0,0.0,Ge;P;O,0.3750000000000001,0.3750000000000001,1.8000000000000007,1.8000000000000007,3.0,3.0,0.0301897642323174,10.8,9.0,-1.8000000000000007,1.8000000000000007,-0.1666666666666667,,,"{""Al"": 4.8, ""Ge"": 7.2, ""Li"": 10.8, ""O"": 72.0, ""P"": 18.0}","{""Al"": 3.0, ""Ge"": 9.0, ""Li"": 9.0, ""O"": 72.0, ""P"": 18.0}","{""Al"": -1.8, ""Ge"": 1.8, ""Li"": -1.8, ""O"": 0.0, ""P"": 0.0}","{""Al"": 1.8, ""Ge"": 1.8, ""Li"": 1.8, ""O"": 0.0, ""P"": 0.0}","{""Al"": 0.375, ""Ge"": 0.25, ""Li"": 0.16666667, ""O"": 0.0, ""P"": 0.0}","{""Al"": false, ""Ge"": false, ""Li"": false, ""O"": true, ""P"": true}","{""Al"": false, ""Ge"": false, ""Li"": false, ""O"": true, ""P"": true}",neutral_assignment_found,"{""Al"": 3.0, ""Ge"": 4.0, ""Li"": 1.0, ""O"": -2.0, ""P"": 5.0}",pymatgen_structure,Li9 Al3 Ge9 P18 O72,Li3AlGe3(PO4)6,"{""Al"": 3.0, ""Ge"": 9.0, ""Li"": 9.0, ""O"": 72.0, ""P"": 18.0}",True,0.0,0.0,0.0,FAIL_GENERAL_STOICHIOMETRY,-0.1666666666666667,201.0,-3.5937192265704425,41.041841219422174,0.2231778022299622,0.2231778022299728,184.0,338.2724173402472,27.06533641232909,False,False,False,True,False,False,False,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/8fn,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/8fn/Lithium_PDOS_8fn.csv,/content/drive/.shortcut-targets-by-id/1_rZkiXnggqDBzgsITf1d7V4K_4aJ00gF/Train_cif_dos_code-2/8fn/Total_DOS_8fn.csv,980.0,True,True,False,False,False,audit:FAIL_GENERAL_STOICHIOMETRY/PASS
mdj,Li1.2Ti2Si0.2P2.8O12,6,Li7.2Ti12.0Si1.2P16.8O72.0,8.6e-05,,,R-3c,167,8.518,8.518,20.848,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,8.6e-05,False,,8.6e-05,8.6e-05,8.6e-05,-4.0655015487564325,-4.0655015487564325,-4.0655015487564325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
t1l,Li1.3Ti2Si0.3P2.7O12,6,Li7.8Ti12.0Si1.8P16.2O72.0,0.00032,,,R-3c,167,8.52,8.52,20.862,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00032,False,,0.00032,0.00032,0.00032,-3.494850021680094,-3.494850021680094,-3.494850021680094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
f4x,Li1.2Cr0.2Ti1.8(PO4)3,6,Li7.2Cr1.2Ti10.8P18.0O72.0,1.82e-05,,,R-3c,167,8.5189,8.5189,20.8643,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,1.82e-05,False,,1.82e-05,1.82e-05,1.82e-05,-4.739928612014925,-4.739928612014925,-4.739928612014925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
txm,Li1.3Cr0.3Ti1.7(PO4)3,6,Li7.8Cr1.8Ti10.2P18.0O72.0,3.51e-05,,,R-3c,167,8.5203,8.5203,20.8702,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,3.51e-05,False,,3.51e-05,3.51e-05,3.51e-05,-4.454692883534176,-4.454692883534176,-4.454692883534176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
v1t,Li1.4Cr0.4Ti1.6(PO4)3,6,Li8.4Cr2.4Ti9.6P18.0O72.0,0.000149,,,R-3c,167,8.522,8.522,20.88,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000149,False,,0.000149,0.000149,0.000149,-3.826813731587726,-3.826813731587726,-3.826813731587726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
d6b,Li1.5Cr0.5Ti1.5(PO4)3,6,Li9.0Cr3.0Ti9.0P18.0O72.0,0.000386,,,R-3c,167,8.5218,8.5218,20.8829,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000386,False,,0.000386,0.000386,0.000386,-3.413412695328245,-3.413412695328245,-3.413412695328245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
x9a,Li1.2Ga0.2Ti1.8(PO4)3,6,Li7.2Ga1.2Ti10.8P18.0O72.0,0.000162,,,R-3c,167,8.5156,8.5156,20.8451,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000162,False,,0.000162,0.000162,0.000162,-3.7904849854573692,-3.7904849854573692,-3.7904849854573692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
3ta,Li1.3Ga0.3Ti1.7(PO4)3,6,Li7.8Ga1.8Ti10.2P18.0O72.0,0.000261,,,R-3c,167,8.5175,8.5175,20.8541,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000261,False,,0.000261,0.000261,0.000261,-3.583359492661719,-3.583359492661719,-3.583359492661719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
gjy,Li1.4Ga0.4Ti1.6(PO4)3,6,Li8.4Ga2.4Ti9.6P18.0O72.0,0.000128,,,R-3c,167,8.5136,8.5136,20.8588,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000128,False,,0.000128,0.000128,0.000128,-3.8927900303521317,-3.8927900303521317,-3.8927900303521317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
lz8,Li1.5Ga0.5Ti1.5(PO4)3,6,Li9.0Ga3.0Ti9.0P18.0O72.0,0.000122,,,R-3c,167,8.5159,8.5159,20.8419,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000122,False,,0.000122,0.000122,0.000122,-3.9136401693252516,-3.9136401693252516,-3.9136401693252516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
6st,Li1.2Fe0.2Ti1.8(PO4)3,6,Li7.2Fe1.2Ti10.8P18.0O72.0,0.00018,,,R-3c,167,8.5213,8.5213,20.8648,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00018,False,,0.00018,0.00018,0.00018,-3.744727494896694,-3.744727494896694,-3.744727494896694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
t9r,Li1.3Fe0.3Ti1.7(PO4)3,6,Li7.8Fe1.8Ti10.2P18.0O72.0,0.000246,,,R-3c,167,8.5262,8.5262,20.865,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000246,False,,0.000246,0.000246,0.000246,-3.6090648928966207,-3.6090648928966207,-3.6090648928966207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
xr7,Li1.4Fe0.4Ti1.6(PO4)3,6,Li8.4Fe2.4Ti9.6P18.0O72.0,0.000392,,,R-3c,167,8.5301,8.5301,20.8889,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000392,False,,0.000392,0.000392,0.000392,-3.406713932979543,-3.406713932979543,-3.406713932979543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
1wm,Li1.2Sc0.2Ti1.8(PO4)3,6,Li7.2Sc1.2Ti10.8P18.0O72.0,0.00069,,,R-3c,167,8.5482,8.5482,20.9418,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.00069,False,,0.00069,0.00069,0.00069,-3.161150909262745,-3.161150909262745,-3.161150909262745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
do2,Li1.3Sc0.3Ti1.7(PO4)3,6,Li7.8Sc1.8Ti10.2P18.0O72.0,0.000703,,,R-3c,167,8.5645,8.5645,20.985,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,train,0.000703,False,,0.000703,0.000703,0.000703,-3.153044674980176,-3.153044674980176,-3.153044674980176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
uaj,Li1.4Sc0.4Ti1.6(PO4)3,6,Li8.4Sc2.4Ti9.6P18.0O72.0,0.000515,,,R-3c,167,8.5651,8.5651,20.9948,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,375.0,train,0.000515,False,,0.000515,0.000515,0.000515,-3.288192770958809,-3.288192770958809,-3.288192770958809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,missing_paired_spectrum
