split,ID,source_folder,filtered_folder,source_li_file,source_total_file,filtered_li_file,filtered_total_file,li_staging_method,total_staging_method,auxiliary_file_count,auxiliary_staging_methods,status
test,ard,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ard,/content/obelix_audit_filtered_spectra/Test_cif/ard,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ard/Lithium_PDOS_ard.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ard/Total_DOS_ard.csv,/content/obelix_audit_filtered_spectra/Test_cif/ard/Lithium_PDOS_ard.csv,/content/obelix_audit_filtered_spectra/Test_cif/ard/Total_DOS_ard.csv,copy2,copy2,2,copy2,ok
test,b56,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/b56,/content/obelix_audit_filtered_spectra/Test_cif/b56,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/b56/Lithium_PDOS_b56.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/b56/Total_DOS_b56.csv,/content/obelix_audit_filtered_spectra/Test_cif/b56/Lithium_PDOS_b56.csv,/content/obelix_audit_filtered_spectra/Test_cif/b56/Total_DOS_b56.csv,copy2,copy2,2,copy2,ok
test,bnu,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/bnu,/content/obelix_audit_filtered_spectra/Test_cif/bnu,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/bnu/Lithium_PDOS_bnu.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/bnu/Total_DOS_bnu.csv,/content/obelix_audit_filtered_spectra/Test_cif/bnu/Lithium_PDOS_bnu.csv,/content/obelix_audit_filtered_spectra/Test_cif/bnu/Total_DOS_bnu.csv,copy2,copy2,2,copy2,ok
test,br1,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/br1,/content/obelix_audit_filtered_spectra/Test_cif/br1,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/br1/Lithium_PDOS_br1.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/br1/Total_DOS_br1.csv,/content/obelix_audit_filtered_spectra/Test_cif/br1/Lithium_PDOS_br1.csv,/content/obelix_audit_filtered_spectra/Test_cif/br1/Total_DOS_br1.csv,copy2,copy2,2,copy2,ok
test,cfy,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cfy,/content/obelix_audit_filtered_spectra/Test_cif/cfy,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cfy/Lithium_PDOS_cfy.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cfy/Total_DOS_cfy.csv,/content/obelix_audit_filtered_spectra/Test_cif/cfy/Lithium_PDOS_cfy.csv,/content/obelix_audit_filtered_spectra/Test_cif/cfy/Total_DOS_cfy.csv,copy2,copy2,2,copy2,ok
test,cz2,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cz2,/content/obelix_audit_filtered_spectra/Test_cif/cz2,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cz2/Lithium_PDOS_cz2.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cz2/Total_DOS_cz2.csv,/content/obelix_audit_filtered_spectra/Test_cif/cz2/Lithium_PDOS_cz2.csv,/content/obelix_audit_filtered_spectra/Test_cif/cz2/Total_DOS_cz2.csv,copy2,copy2,2,copy2,ok
test,de5,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/de5,/content/obelix_audit_filtered_spectra/Test_cif/de5,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/de5/Lithium_PDOS_de5.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/de5/Total_DOS_de5.csv,/content/obelix_audit_filtered_spectra/Test_cif/de5/Lithium_PDOS_de5.csv,/content/obelix_audit_filtered_spectra/Test_cif/de5/Total_DOS_de5.csv,copy2,copy2,2,copy2,ok
test,dvb,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/dvb,/content/obelix_audit_filtered_spectra/Test_cif/dvb,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/dvb/Lithium_PDOS_dvb.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/dvb/Total_DOS_dvb.csv,/content/obelix_audit_filtered_spectra/Test_cif/dvb/Lithium_PDOS_dvb.csv,/content/obelix_audit_filtered_spectra/Test_cif/dvb/Total_DOS_dvb.csv,copy2,copy2,2,copy2,ok
test,ecp,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ecp,/content/obelix_audit_filtered_spectra/Test_cif/ecp,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ecp/Lithium_PDOS_ecp.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ecp/Total_DOS_ecp.csv,/content/obelix_audit_filtered_spectra/Test_cif/ecp/Lithium_PDOS_ecp.csv,/content/obelix_audit_filtered_spectra/Test_cif/ecp/Total_DOS_ecp.csv,copy2,copy2,2,copy2,ok
test,ei3,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ei3,/content/obelix_audit_filtered_spectra/Test_cif/ei3,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ei3/Lithium_PDOS_ei3.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ei3/Total_DOS_ei3.csv,/content/obelix_audit_filtered_spectra/Test_cif/ei3/Lithium_PDOS_ei3.csv,/content/obelix_audit_filtered_spectra/Test_cif/ei3/Total_DOS_ei3.csv,copy2,copy2,2,copy2,ok
test,elz,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/elz,/content/obelix_audit_filtered_spectra/Test_cif/elz,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/elz/Lithium_PDOS_elz.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/elz/Total_DOS_elz.csv,/content/obelix_audit_filtered_spectra/Test_cif/elz/Lithium_PDOS_elz.csv,/content/obelix_audit_filtered_spectra/Test_cif/elz/Total_DOS_elz.csv,copy2,copy2,2,copy2,ok
test,gwu,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/gwu,/content/obelix_audit_filtered_spectra/Test_cif/gwu,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/gwu/Lithium_PDOS_gwu.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/gwu/Total_DOS_gwu.csv,/content/obelix_audit_filtered_spectra/Test_cif/gwu/Lithium_PDOS_gwu.csv,/content/obelix_audit_filtered_spectra/Test_cif/gwu/Total_DOS_gwu.csv,copy2,copy2,3,copy2,ok
test,h5i,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/h5i,/content/obelix_audit_filtered_spectra/Test_cif/h5i,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/h5i/Lithium_PDOS_h5i.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/h5i/Total_DOS_h5i.csv,/content/obelix_audit_filtered_spectra/Test_cif/h5i/Lithium_PDOS_h5i.csv,/content/obelix_audit_filtered_spectra/Test_cif/h5i/Total_DOS_h5i.csv,copy2,copy2,2,copy2,ok
test,i47,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/i47,/content/obelix_audit_filtered_spectra/Test_cif/i47,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/i47/Lithium_PDOS_i47.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/i47/Total_DOS_i47.csv,/content/obelix_audit_filtered_spectra/Test_cif/i47/Lithium_PDOS_i47.csv,/content/obelix_audit_filtered_spectra/Test_cif/i47/Total_DOS_i47.csv,copy2,copy2,2,copy2,ok
test,ipo,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ipo,/content/obelix_audit_filtered_spectra/Test_cif/ipo,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ipo/Lithium_PDOS_ipo.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ipo/Total_DOS_ipo.csv,/content/obelix_audit_filtered_spectra/Test_cif/ipo/Lithium_PDOS_ipo.csv,/content/obelix_audit_filtered_spectra/Test_cif/ipo/Total_DOS_ipo.csv,copy2,copy2,2,copy2,ok
test,j5g,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/j5g,/content/obelix_audit_filtered_spectra/Test_cif/j5g,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/j5g/Lithium_PDOS_j5g.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/j5g/Total_DOS_j5g.csv,/content/obelix_audit_filtered_spectra/Test_cif/j5g/Lithium_PDOS_j5g.csv,/content/obelix_audit_filtered_spectra/Test_cif/j5g/Total_DOS_j5g.csv,copy2,copy2,2,copy2,ok
test,jy6,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/jy6,/content/obelix_audit_filtered_spectra/Test_cif/jy6,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/jy6/Lithium_PDOS_jy6.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/jy6/Total_DOS_jy6.csv,/content/obelix_audit_filtered_spectra/Test_cif/jy6/Lithium_PDOS_jy6.csv,/content/obelix_audit_filtered_spectra/Test_cif/jy6/Total_DOS_jy6.csv,copy2,copy2,2,copy2,ok
test,klr,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/klr,/content/obelix_audit_filtered_spectra/Test_cif/klr,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/klr/Lithium_PDOS_klr.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/klr/Total_DOS_klr.csv,/content/obelix_audit_filtered_spectra/Test_cif/klr/Lithium_PDOS_klr.csv,/content/obelix_audit_filtered_spectra/Test_cif/klr/Total_DOS_klr.csv,copy2,copy2,2,copy2,ok
test,kxw,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/kxw,/content/obelix_audit_filtered_spectra/Test_cif/kxw,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/kxw/Lithium_PDOS_kxw.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/kxw/Total_DOS_kxw.csv,/content/obelix_audit_filtered_spectra/Test_cif/kxw/Lithium_PDOS_kxw.csv,/content/obelix_audit_filtered_spectra/Test_cif/kxw/Total_DOS_kxw.csv,copy2,copy2,2,copy2,ok
test,l2w,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/l2w,/content/obelix_audit_filtered_spectra/Test_cif/l2w,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/l2w/Lithium_PDOS_l2w.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/l2w/Total_DOS_l2w.csv,/content/obelix_audit_filtered_spectra/Test_cif/l2w/Lithium_PDOS_l2w.csv,/content/obelix_audit_filtered_spectra/Test_cif/l2w/Total_DOS_l2w.csv,copy2,copy2,2,copy2,ok
test,l6h,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/l6h,/content/obelix_audit_filtered_spectra/Test_cif/l6h,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/l6h/Lithium_PDOS_l6h.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/l6h/Total_DOS_l6h.csv,/content/obelix_audit_filtered_spectra/Test_cif/l6h/Lithium_PDOS_l6h.csv,/content/obelix_audit_filtered_spectra/Test_cif/l6h/Total_DOS_l6h.csv,copy2,copy2,2,copy2,ok
test,mdp,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mdp,/content/obelix_audit_filtered_spectra/Test_cif/mdp,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mdp/Lithium_PDOS_mdp.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mdp/Total_DOS_mdp.csv,/content/obelix_audit_filtered_spectra/Test_cif/mdp/Lithium_PDOS_mdp.csv,/content/obelix_audit_filtered_spectra/Test_cif/mdp/Total_DOS_mdp.csv,copy2,copy2,2,copy2,ok
test,me3,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/me3,/content/obelix_audit_filtered_spectra/Test_cif/me3,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/me3/Lithium_PDOS_me3.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/me3/Total_DOS_me3.csv,/content/obelix_audit_filtered_spectra/Test_cif/me3/Lithium_PDOS_me3.csv,/content/obelix_audit_filtered_spectra/Test_cif/me3/Total_DOS_me3.csv,copy2,copy2,2,copy2,ok
test,mfu,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mfu,/content/obelix_audit_filtered_spectra/Test_cif/mfu,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mfu/Lithium_PDOS_mfu.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mfu/Total_DOS_mfu.csv,/content/obelix_audit_filtered_spectra/Test_cif/mfu/Lithium_PDOS_mfu.csv,/content/obelix_audit_filtered_spectra/Test_cif/mfu/Total_DOS_mfu.csv,copy2,copy2,2,copy2,ok
test,mtr,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mtr,/content/obelix_audit_filtered_spectra/Test_cif/mtr,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mtr/Lithium_PDOS_mtr.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/mtr/Total_DOS_mtr.csv,/content/obelix_audit_filtered_spectra/Test_cif/mtr/Lithium_PDOS_mtr.csv,/content/obelix_audit_filtered_spectra/Test_cif/mtr/Total_DOS_mtr.csv,copy2,copy2,2,copy2,ok
test,o0a,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/o0a,/content/obelix_audit_filtered_spectra/Test_cif/o0a,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/o0a/Lithium_PDOS_o0a.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/o0a/Total_DOS_o0a.csv,/content/obelix_audit_filtered_spectra/Test_cif/o0a/Lithium_PDOS_o0a.csv,/content/obelix_audit_filtered_spectra/Test_cif/o0a/Total_DOS_o0a.csv,copy2,copy2,2,copy2,ok
test,ob9,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ob9,/content/obelix_audit_filtered_spectra/Test_cif/ob9,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ob9/Lithium_PDOS_ob9.csv,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ob9/Total_DOS_ob9.csv,/content/obelix_audit_filtered_spectra/Test_cif/ob9/Lithium_PDOS_ob9.csv,/content/obelix_audit_filtered_spectra/Test_cif/ob9/Total_DOS_ob9.csv,copy2,copy2,2,copy2,ok
