ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude
7se,Li3.8Si0.8P0.2S4,24,Li91.2Si19.2P4.8S96.0,8.11e-07,,,P21/m,11,13.7707,23.304,12.1962,90.0,91.168,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,8.11e-07,False,,8.11e-07,8.11e-07,8.11e-07,-6.090979145788844,-6.090979145788844,-6.090979145788844
5e2,Li3.6Si0.6P0.4S4,24,Li86.4Si14.4P9.6S96.0,7.19e-05,,,P21/m,11,13.6233,23.4044,12.2258,90.0,90.133,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,7.19e-05,False,,7.19e-05,7.19e-05,7.19e-05,-4.1432711096171175,-4.1432711096171175,-4.1432711096171175
dj2,Li3.4Si0.4P0.6S4,24,Li81.6Si9.6P14.4S96.0,0.000662,,,P21/m,11,13.3678,23.6448,12.2154,90.0,90.134,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,0.000662,False,,0.000662,0.000662,0.000662,-3.1791420105603,-3.1791420105603,-3.1791420105603
10u,Li3.2Si0.2P0.8S4,24,Li76.8Si4.8P19.2S96.0,3.2e-06,,,P21/m,11,13.0804,24.1028,12.2338,90.0,90.03,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,3.2e-06,False,,3.2e-06,3.2e-06,3.2e-06,-5.494850021680094,-5.494850021680094,-5.494850021680094
y2l,Li5AlS4,2,Li10.0Al2.0S8.0,1.4e-09,,,P21/m,11,6.8583,7.8369,6.2488,90.0,90.333,90.0,thio-LISICON,10.1016/j.jssc.2017.09.018,1,D1 - 901,done,433369-ICSD,,,,,433369.0,,901.0,train,1.4e-09,False,,1.4e-09,1.4e-09,1.4e-09,-8.853871964321762,-8.853871964321762,-8.853871964321762
gl0,Li4.2Si0.8Al0.2S4,2,Li8.4Si1.6Al0.4S8.0,2.4e-08,,,P21/m,11,6.903,7.787,6.125,90.0,90.877,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,2.4e-08,False,,2.4e-08,2.4e-08,2.4e-08,-7.619788758288394,-7.619788758288394,-7.619788758288394
wmr,Li4.4Si0.6Al0.4S4,2,Li8.8Si1.2Al0.8S8.0,3.05e-08,,,P21/m,11,6.862,7.81,6.113,90.0,90.23,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,3.05e-08,False,,3.05e-08,3.05e-08,3.05e-08,-7.515700160653214,-7.515700160653214,-7.515700160653214
xxq,Li4.6Si0.4Al0.6S4,2,Li9.2Si0.8Al1.2S8.0,1.46e-08,,,P21/m,11,6.858,7.82,6.217,90.0,89.947,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,1.46e-08,False,,1.46e-08,1.46e-08,1.46e-08,-7.835647144215563,-7.835647144215563,-7.835647144215563
h8o,Li4.8Si0.2Al0.8S4,2,Li9.6Si0.4Al1.6S8.0,2.29e-07,,,P21/m,11,6.843,7.833,6.235,90.0,89.846,90.0,thio-LISICON,10.1006/jssc.2002.9701,1,D2 - 18,not available,,,,,,,18.0,,train,2.29e-07,False,,2.29e-07,2.29e-07,2.29e-07,-6.640164517660112,-6.640164517660112,-6.640164517660112
pe2,Li17Sb13S28,1,Li17.0Sb13.0S28.0,1.05e-09,,,C2/m ,12,12.7298,11.5837,9.2251,90.0,119.55,90.0,Unknown,10.1002/chem.201502052,1,D2 - 24,done,429902-ICSD,,partial occupancy corrected,,,429902.0,24.0,,train,1.05e-09,False,,1.05e-09,1.05e-09,1.05e-09,-8.978810700930062,-8.978810700930062,-8.978810700930062
opo,Li0.6[Li0.2Sn0.8S2],6,Li4.8Sn4.8S12.0,0.00012,,,C2/m ,12,19.217,3.6996,6.529,90.0,109.056,90.0,layered,10.1039/c6ee00633g,1,D2 - 22,done,appendix,,,,,,22.0,,train,0.00012,False,,0.00012,0.00012,0.00012,-3.9208187539523753,-3.9208187539523753,-3.9208187539523753
lkm,Li6Ge2O7,4,Li24.0Ge8.0O28.0,8.5e-07,,,P21/c,14,8.071,5.304,14.223,90.0,92.9,90.0,Unknown,10.4028/www.scientific.net/msf.76.107,1,D2 - 31,done,31050-ICSD,,,,,31050.0,31.0,,train,8.5e-07,False,,8.5e-07,8.5e-07,8.5e-07,-6.070581074285707,-6.070581074285707,-6.070581074285707
bv2,LiYO2,4,Li4.0Y4.0O8.0,1.8e-08,,,P21/c,14,6.12,6.185,6.21,90.0,118.8,90.0,oxides,10.1016/0167-2738(81)90021-7,1,D2 - 33,done,45511-ICSD,,check cif file matching,,,45511.0,33.0,,train,1.8e-08,False,,1.8e-08,1.8e-08,1.8e-08,-7.7447274948966935,-7.7447274948966935,-7.7447274948966935
be9,LiGaBr4,4,Li4.0Ga4.0Br16.0,7e-06,,,P21/c,14,13.696,6.854,7.416,90.0,93.14,90.0,halides,10.1016/s0167-2738(00)00491-4,1,D2 - 25,done,61337-ICSD,,,,,61337.0,25.0,,train,7e-06,False,,7e-06,7e-06,7e-06,-5.154901959985743,-5.154901959985743,-5.154901959985743
n27,LiBO2,4,Li4.0B4.0O8.0,1e-08,,,P21/c,14,5.845,4.353,6.454,90.0,115.09,90.0,Unknown,10.1140/epjst/e2008-00753-4,1,D2 - 34,done,200891-ICSD,D2 -34_II ,"Value for nanocrystalline ceramic (16h) other values for micro, single crystal and amorphous",,,200891.0,34.0,,train,1e-08,False,,1e-08,1e-08,1e-08,-8.0,-8.0,-8.0
goi,LiClC3H7NO,4,Li4.0Cl4.0C12.0H28.0N4.0O4.0,0.00016,,,P21/c,14,5.839,6.39,15.961,90.0,98.826,90.0,Unknown,10.1021/acs.chemmater.5b00940,1,D2 - 35,done,CCDC 969064,appendix,,,,,35.0,,train,0.00016,False,,0.00016,0.00016,0.00016,-3.795880017344075,-3.795880017344075,-3.795880017344075
lrh,Li2.5V2(PO4)3,4,Li10.0V8.0P12.0O48.0,1.9e-07,,,P21/c,14,8.45678,8.62076,11.89577,90.0,90.2366,90.0,NASICON,10.1021/cm034802f,1,D2 - 37,done,240268-ICSD,,,,,240268.0,37.0,,train,1.9e-07,False,,1.9e-07,1.9e-07,1.9e-07,-6.721246399047171,-6.721246399047171,-6.721246399047171
1xt,LiSbO2,8,Li8.0Sb8.0O16.0,<1E-10,,,P21/c,14,4.855,17.857,5.5771,90.0,90.061,90.0,oxides,10.1021/ic201183e,1,D2 - 39,done,262075-ICSD,,,,,262075.0,39.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
kbo,Li2Sr2Al(PO4)3,4,Li8.0Sr8.0Al4.0P12.0O48.0,<1E-10,,,P21/c,14,4.945,22.088,8.632,90.0,91.47,90.0,NASICON,10.1016/j.jssc.2016.08.006,1,D2 - 40,done,CCDC 1790590,,,,,,40.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
5zv,Li4Zn(PO4)2,4,Li16.0Zn4.0P8.0O32.0,5.55e-18,,,P21/c,14,8.1199,10.24192,8.10549,90.0,104.8589,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,appendix,,,,,,38.0,,train,5.55e-18,False,,5.55e-18,5.55e-18,5.55e-18,-17.255707016877324,-17.255707016877324,-17.255707016877324
5bz,Li3BN2,4,Li12.0B4.0N8.0,8.7e-08,,,P21/c,14,5.1502,7.0824,6.7908,90.0,112.956,90.0,boron nitride,10.1016/0022-4596(87)90135-6,1,D2 - 93,done,41022-ICSD,D2 - 93_II; Li3BN2.cif,,,,41022.0,93.0,,train,8.7e-08,False,,8.7e-08,8.7e-08,8.7e-08,-7.060480747381382,-7.060480747381382,-7.060480747381382
883,LiAlH4,4,Li4.0Al4.0H16.0,8.7e-09,,,P21/c,14,4.8254,7.804,7.8968,90.0,112.268,90.0,hydrides,10.1063/1.3356981,1,D1 - 727,done,95202-ICSD,,,,,95202.0,,727.0,train,8.7e-09,False,,8.7e-09,8.7e-09,8.7e-09,-8.060480747381382,-8.060480747381382,-8.060480747381382
uu4,LiVO3,8,Li8.0V8.0O24.0,2.05e-09,,,C2/c,15,10.1597,8.4155,5.8843,90.0,110.505,90.0,oxides,10.1006/jssc.2000.9009,1,D2 - 48,done,51443-ICSD,,,,,51443.0,48.0,,train,2.05e-09,False,,2.05e-09,2.05e-09,2.05e-09,-8.688246138944246,-8.688246138944246,-8.688246138944246
tws,Li6Zr2O7,4,Li24.0Zr8.0O28.0,5.2e-10,,,C2/c,15,10.44,5.991,10.204,90.0,100.25,90.0,zirconates,10.3103/s1062873810050199,1,D2 - 41,done,73835-ICSD,,,,,73835.0,41.0,,train,5.2e-10,False,,5.2e-10,5.2e-10,5.2e-10,-9.2839966563652,-9.2839966563652,-9.2839966563652
l9v,Li3AlF6,12,Li36.0Al12.0F72.0,5e-07,,,C2/c,15,14.201,8.387,9.861,90.0,94.07,90.0,fluorides,10.1149/2.012206eel,1,D2 - 42,done,85171-ICSD,,Ball milled conducvitity; structure may be different ,,,85171.0,42.0,,train,5e-07,False,,5e-07,5e-07,5e-07,-6.301029995663981,-6.301029995663981,-6.301029995663981
t0h,Li2ZrO3,4,Li8.0Zr4.0O12.0,6.1e-10,,,C2/c,15,5.4163,9.0262,5.4156,90.0,112.615,90.0,oxides,10.1016/0167-2738(81)90021-7,1,D2 - 33,done,94894-ICSD,,check cif file matching,,,94894.0,33.0,,train,6.1e-10,False,,6.1e-10,6.1e-10,6.1e-10,-9.214670164989233,-9.214670164989233,-9.214670164989233
4kt,Li2CrCl4,4,Li8.0Cr4.0Cl16.0,<1E-10,,,C2/c,15,7.446,10.162,10.172,90.0,90.0,132.11,halides,10.1016/0022-4596(88)90301-5,1,D2 - 49,done,202627-ICSD,,,,,202627.0,49.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
xas,Li2SnS3,8,Li16.0Sn8.0S24.0,1.5e-05,,,C2/c,15,6.3964,11.0864,12.4048,90.0,99.867,90.0,sulfides,10.1021/cm5037524,1,D2 - 43,done,251656-ICSD,,,,,251656.0,43.0,,train,1.5e-05,False,,1.5e-05,1.5e-05,1.5e-05,-4.823908740944319,-4.823908740944319,-4.823908740944319
kfp,Li2BaP2O7,8,Li16.0Ba8.0P16.0O56.0,1.59881e-17,,,C2/c,15,7.147,12.283,14.016,90.0,90.49,90.0,pyrophosphate,10.1007/s11581-014-1261-6,1,D2 - 45,done,280927-ICSD,,,,,280927.0,45.0,,train,1.59881e-17,False,,1.59881e-17,1.59881e-17,1.59881e-17,-16.796203144042632,-16.796203144042632,-16.796203144042632
qy4,Li3Na5(TiS4)2,4,Li12.0Na20.0Ti8.0S32.0,8.8e-06,,,C2/c,15,17.5783,9.6404,12.0796,90.0,133.4047,90.0,sulfides,10.1016/j.jssc.2008.01.023,1,D2 - 46,done,391258-ICSD,,,,,391258.0,46.0,,train,8.8e-06,False,,8.8e-06,8.8e-06,8.8e-06,-5.055517327849832,-5.055517327849832,-5.055517327849832
00x,LiGd(PO3)4,4,Li4.0Gd4.0P16.0O48.0,<1E-10,,,C2/c,15,16.386,7.059,9.677,90.0,126.12,90.0,phosphates,10.1016/j.jssc.2006.06.003,1,D2 - 47,done,416442-ICSD,,,,,416442.0,47.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
9wf,Li3ErI6,4,Li12.0Er4.0I24.0,0.00065,,,C2/c,15,7.413,12.838,14.2,90.0,100.01,90.0,halides,10.1021/acsaem.0c00147,1,D2 - 50,done,,,"appendix: diffraction data available, D_0 calculation",,,,50.0,,train,0.00065,False,,0.00065,0.00065,0.00065,-3.1870866433571443,-3.1870866433571443,-3.1870866433571443
dmq,Li3AlS3,8,Li24.0Al8.0S24.0,1.31e-08,,,C2/c,15,14.31901,11.98037,6.627,90.0,116.9231,90.0,sulfides,10.1021/acs.chemmater.9b03230,1,D1 - 913,done,appendix,,,,,101899.0,,770.0,train,1.31e-08,False,,1.31e-08,1.31e-08,1.31e-08,-7.882728704344236,-7.882728704344236,-7.882728704344236
uox,Li3.7Zn0.7Ga0.3(PO4)2,2,Li7.4Zn1.4Ga0.6P4.0O16.0,5.65e-12,,,P 21 21 21,19,4.9391,6.4803,10.1468,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,appendix,,,,,,38.0,,train,5.65e-12,False,,5.65e-12,5.65e-12,5.65e-12,-11.247951552180561,-11.247951552180561,-11.247951552180561
joc,Li3PS4,2,Li6.0P2.0S8.0,2.6e-07,,,Pmn21,31,7.70829,6.53521,6.1365,90.0,90.0,90.0,thio-LISICON,10.1021/ja3110895,1,D2 - 52,done,180318-ICSD,,,,,180318.0,52.0,,train,2.6e-07,False,,2.6e-07,2.6e-07,2.6e-07,-6.585026652029182,-6.585026652029182,-6.585026652029182
mq1,Li3SbS4,2,Li6.0Sb2.0S8.0,4.8e-09,,,Pmn21,31,7.9645,6.8404,6.3774,90.0,90.0,90.0,thio-LISICON,10.1016/j.ssi.2019.01.017,1,D2 - 51,done,,,diffraction data available,,,8407.0,51.0,,train,4.8e-09,False,,4.8e-09,4.8e-09,4.8e-09,-8.318758762624412,-8.318758762624412,-8.318758762624412
ssv,Li3P0.2V0.8O4,2,Li6.0P0.4V1.6O8.0,1.31e-13,,,Pmn21,31,6.282,5.4021,4.9289,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1 - 541,not available,,,D_0 calculation,,,,,449.0,train,1.31e-13,False,,1.31e-13,1.31e-13,1.31e-13,-12.882728704344236,-12.882728704344236,-12.882728704344236
h6c,Li3VO4,2,Li6.0V2.0O8.0,9.2e-14,,,Pmn21,31,6.3278,5.4448,4.9467,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1 - 541,done,,,,Yes,10.1016/S0022-4596(73)80012-X,19002.0,,446.0,train,9.2e-14,False,,9.2e-14,9.2e-14,9.2e-14,-13.036212172654444,-13.036212172654444,-13.036212172654444
bsa,LiGaO2,4,Li4.0Ga4.0O8.0,2.4e-14,,,Pna21,33,5.402,6.372,5.007,90.0,90.0,90.0,oxides,10.1007/bf00549810,1,D2 - 53,done,18152-ICSD,,check cif file matching,,,18152.0,53.0,,train,2.4e-14,False,,2.4e-14,2.4e-14,2.4e-14,-13.619788758288394,-13.619788758288394,-13.619788758288394
mde,LiB6O9F,4,Li4.0B24.0O36.0F4.0,<1E-10,,,Pna21,33,7.65545,8.53175,10.7894,90.0,90.0,90.0,fluorooxoborate,10.1002/zaac.200900056,1,D2 - 54,done,420286-ICSD,,,,,420286.0,54.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
1e9,Li3SbS3,4,Li12.0Sb4.0S12.0,1e-09,,,Pna21,33,7.9671,6.7883,10.0912,90.0,90.0,90.0,sulfides,10.1002/zaac.201200277,1,D2 - 55_II,done,424834-ICSD,,,,,424834.0,55.0,,train,1e-09,False,,1e-09,1e-09,1e-09,-9.0,-9.0,-9.0
an2,Li6SiO4Cl2,4,Li24.0Si4.0O16.0Cl8.0,1e-10,,,Pna21,33,10.5204,6.0756,9.953,90.0,90.0,90.0,argyrodite,10.1021/acs.chemmater.1c00157,1,D1 - 915,done,appendix,,,,,,,772.0,train,1e-10,False,,1e-10,1e-10,1e-10,-10.0,-10.0,-10.0
tka,LiSi2N3,4,Li4.0Si8.0N12.0,6.17e-08,,,Cmc21,36,9.186,5.302,4.776,90.0,90.0,90.0,nitride,10.1016/0167-2738(87)90119-6,1,D2 - 56,done,34118-ICSD,,,,,34118.0,56.0,,train,6.17e-08,False,,6.17e-08,6.17e-08,6.17e-08,-7.209714835966758,-7.209714835966758,-7.209714835966758
cdk,Li2(PO2N),4,Li8.0P4.0O8.0N4.0,<1E-10,,,Cmc21,36,9.0692,5.3999,4.6856,90.0,90.0,90.0,LIPON,10.1016/j.ssi.2012.12.013,1,D2 - 57,done,188493-ICSD,,,,,188493.0,57.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
fwz,Li2SiS3,4,Li8.0Si4.0S12.0,2e-06,,,Cmc21,36,6.735,11.664,5.926,90.0,90.0,90.0,thio-LISICON,10.1016/0025-5408(89)90053-6,1,D1 - 764; D2 - 15,done,,,appendix: diffraction data available,Yes,mp-1210789,,,635.0,train,2e-06,False,,2e-06,2e-06,2e-06,-5.698970004336019,-5.698970004336019,-5.698970004336019
hln,LiGa2GeS6,8,Li8.0Ga16.0Ge8.0S48.0,3.8e-08,,,Fdd2,43,11.943,22.59,6.805,90.0,90.0,90.0,sulfides,10.1016/j.ssi.2014.04.015,1,D2 - 58,not available,,,,,,,58.0,,train,3.8e-08,False,,3.8e-08,3.8e-08,3.8e-08,-7.42021640338319,-7.42021640338319,-7.42021640338319
cy2,La0.64Li0.08TiO3,2,La1.28Li0.16Ti2.0O6.0,0.000335,,,Pmmm,47,3.8753,3.8638,7.7901,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92228-ICSD,,,,,92228.0,59.0,,train,0.000335,False,,0.000335,0.000335,0.000335,-3.474955192963155,-3.474955192963155,-3.474955192963155
5tl,La0.62Li0.14TiO3,2,La1.24Li0.28Ti2.0O6.0,0.000442,,,Pmmm,47,3.8757,3.8655,7.7845,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92231-ICSD,,,,,92231.0,59.0,,train,0.000442,False,,0.000442,0.000442,0.000442,-3.354577730650908,-3.354577730650908,-3.354577730650908
u2y,La0.595Li0.215TiO3,2,La1.19Li0.43Ti2.0O6.0,0.000853,,,Pmmm,47,3.8671,3.8654,7.7727,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92234-ICSD,,,,,92234.0,59.0,,train,0.000853,False,,0.000853,0.000853,0.000853,-3.0690509688324767,-3.0690509688324767,-3.0690509688324767
kxh,Pr0.56Li0.34TiO3.01,2,Pr1.12Li0.68Ti2.0O6.02,1e-06,,,Pmmm,47,3.8372,3.8372,7.701,90.0,90.0,90.0,perovskites,10.1016/0167-2738(94)90310-7,1,D2 - 62,not available,,,,,,,62.0,,train,1e-06,False,,1e-06,1e-06,1e-06,-6.0,-6.0,-6.0
3we,Nd0.55Li0.34TiO3,2,Nd1.1Li0.68Ti2.0O6.0,8e-08,,,Pmmm,47,3.8204,3.823,7.679,90.0,90.0,90.0,perovskites,10.1016/0167-2738(94)90310-7,1,D2 - 62,not available,,,,,,,62.0,506.0,train,8e-08,False,,8e-08,8e-08,8e-08,-7.096910013008056,-7.096910013008056,-7.096910013008056
5z0,Li5AlO4,8,Li40.0Al8.0O32.0,5e-10,,,Pbca,61,9.08,8.94,9.13,90.0,90.0,90.0,oxides,10.1016/0025-5408(76)90169-0,1,D2 - 64,done,42697-ICSD,,,Yes,10.1002/zaac.19713800303,42697.0,64.0,,train,5e-10,False,,5e-10,5e-10,5e-10,-9.301029995663981,-9.301029995663981,-9.301029995663981
472,Li14Nd5(Si11N19O5)O2F2,2,Li28.0Nd10.0Si22.0N38.0O14.0F4.0,1.7e-10,,,Pmmn,59,17.126,7.6155,10.123,90.0,90.0,90.0,nitridosilicates,10.1021/ja302255d,1,D2 - 65,done,appendix; 262923-ICSD,,,,,262923.0,65.0,,train,1.7e-10,False,,1.7e-10,1.7e-10,1.7e-10,-9.769551078621726,-9.769551078621726,-9.769551078621726
9zk,Li5GaO4,8,Li40.0Ga8.0O32.0,5e-09,,,Pbca,61,9.173,9.094,9.202,90.0,90.0,90.0,oxides,10.1016/0025-5408(76)90169-0,1,D2 - 64,done,9082-ICSD,,,,,9082.0,64.0,,train,5e-09,False,,5e-09,5e-09,5e-09,-8.301029995663981,-8.301029995663981,-8.301029995663981
dnt,Li2CrTi(PO4)3,8,Li16.0Cr8.0Ti8.0P24.0O96.0,4.41e-07,,,Pbca,61,8.461,8.688,23.83,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,337.0,train,4.41e-07,False,,4.41e-07,4.41e-07,4.41e-07,-6.355561410532162,-6.355561410532162,-6.355561410532162
g5g,Li2CrZr(PO4)3,8,Li16.0Cr8.0Zr8.0P24.0O96.0,5.91e-07,,,Pbca,61,8.596,8.787,24.21,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,336.0,train,5.91e-07,False,,5.91e-07,5.91e-07,5.91e-07,-6.228412519118745,-6.228412519118745,-6.228412519118745
hpu,Li2CrHf(PO4)3,8,Li16.0Cr8.0Hf8.0P24.0O96.0,4.2e-08,,,Pbca,61,8.598,8.816,24.21,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,407.0,train,4.2e-08,False,,4.2e-08,4.2e-08,4.2e-08,-7.376750709602099,-7.376750709602099,-7.376750709602099
c6h,Li2FeTi(PO4)3,8,Li16.0Fe8.0Ti8.0P24.0O96.0,3.34e-07,,,Pbca,61,8.452,8.672,23.62,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,338.0,train,3.34e-07,False,,3.34e-07,3.34e-07,3.34e-07,-6.476253533188435,-6.476253533188435,-6.476253533188435
vzu,Li2FeZr(PO4)3,8,Li16.0Fe8.0Zr8.0P24.0O96.0,1.44e-07,,,Pbca,61,8.47,8.72,23.8,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,339.0,train,1.44e-07,False,,1.44e-07,1.44e-07,1.44e-07,-6.841637507904751,-6.841637507904751,-6.841637507904751
a3e,Li2InHf(PO4)3,8,Li16.0In8.0Hf8.0P24.0O96.0,2.74e-08,,,Pbca,61,8.757,8.954,24.28,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,341.0,train,2.74e-08,False,,2.74e-08,2.74e-08,2.74e-08,-7.562249437179612,-7.562249437179612,-7.562249437179612
ubi,Li2InTi(PO4)3,8,Li16.0In8.0Ti8.0P24.0O96.0,8.3e-06,,,Pbca,61,8.577,8.826,24.05,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,335.0,train,8.3e-06,False,,8.3e-06,8.3e-06,8.3e-06,-5.080921907623926,-5.080921907623926,-5.080921907623926
