split,ID,family,candidate_rank_for_production,production_score,source_score,selected_as_production,selected_as_source,file,parse_status,parser,formula,reduced_formula,counts_json,n_sites,is_ordered,partial_or_mixed_sites,comparison_to_OBELiX,Li_relative_error,composition_total_variation_error,error
test,9o6,garnet,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/9o6/ordered_adaptive_9o6.cif,ok,pymatgen_structure,Li47 La24 Zr14 Mo2 O96,Li47La24Zr14(MoO48)2,"{""La"": 24.0, ""Li"": 47.0, ""Mo"": 2.0, ""O"": 96.0, ""Zr"": 14.0}",183.0,True,0.0,WARN_INTEGERIZATION_APPROXIMATION,-0.09615384615384616,0.019765143587954934,
test,aab,nan,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/aab/relaxed_aab.cif,ok,pymatgen_structure,Li16 Sn3 Ge1 Se16,Li16Sn3GeSe16,"{""Ge"": 1.0, ""Li"": 16.0, ""Se"": 16.0, ""Sn"": 3.0}",36.0,True,0.0,PASS,0.0,0.0,
test,aab,nan,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/aab/relaxed_aab.cif,ok,pymatgen_structure,Li20 Sn4 Se16,Li5SnSe4,"{""Li"": 20.0, ""Se"": 16.0, ""Sn"": 4.0}",40.0,True,0.0,FAIL_ELEMENT_SET,0.25,0.07222222222222222,
test,aab,nan,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/aab/ordered_adaptive_aab.cif,ok,pymatgen_structure,Li16 Sn3 Ge1 Se16,Li16Sn3GeSe16,"{""Ge"": 1.0, ""Li"": 16.0, ""Se"": 16.0, ""Sn"": 3.0}",36.0,True,0.0,PASS,0.0,0.0,
test,ar1,nan,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ar1/relaxed_ar1.cif,ok,pymatgen_structure,Li16 Sn4 Se4 S12,Li4SnSeS3,"{""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,ar1,nan,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/ar1/relaxed_ar1.cif,ok,pymatgen_structure,Li28 Sn4 S16,Li7SnS4,"{""Li"": 28.0, ""S"": 16.0, ""Sn"": 4.0}",48.0,True,0.0,FAIL_ELEMENT_SET,0.4,0.13888888888888892,
test,ar1,nan,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ar1/ordered_adaptive_ar1.cif,ok,pymatgen_structure,Li16 Sn4 Se4 S12,Li4SnSeS3,"{""Li"": 16.0, ""S"": 12.0, ""Se"": 4.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,ard,oxides,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ard/relaxed_ard.cif,ok,pymatgen_structure,Li8 Ta16 P8 O64,LiTa2PO8,"{""Li"": 8.0, ""O"": 64.0, ""P"": 8.0, ""Ta"": 16.0}",96.0,True,0.0,PASS,0.0,0.0,
test,ard,oxides,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/ard/relaxed_ard.cif,ok,pymatgen_structure,Li20 Ta16 P8 O64,Li5Ta4(PO8)2,"{""Li"": 20.0, ""O"": 64.0, ""P"": 8.0, ""Ta"": 16.0}",108.0,True,0.0,FAIL_LI_STOICHIOMETRY,1.5,0.10185185185185185,
test,ard,oxides,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/ard/ordered_adaptive_ard.cif,ok,pymatgen_structure,Li8 Ta16 P8 O64,LiTa2PO8,"{""Li"": 8.0, ""O"": 64.0, ""P"": 8.0, ""Ta"": 16.0}",96.0,True,0.0,PASS,0.0,0.0,
test,b56,molybdates,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/b56/relaxed_b56.cif,ok,pymatgen_structure,Li8 Mg8 Mo12 O48,Li2Mg2(MoO4)3,"{""Li"": 8.0, ""Mg"": 8.0, ""Mo"": 12.0, ""O"": 48.0}",76.0,True,0.0,PASS,0.0,0.0,
test,b56,molybdates,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/b56/relaxed_b56.cif,ok,pymatgen_structure,Li8 Mg8 Mo12 O48,Li2Mg2(MoO4)3,"{""Li"": 8.0, ""Mg"": 8.0, ""Mo"": 12.0, ""O"": 48.0}",76.0,True,0.0,PASS,0.0,0.0,
test,b56,molybdates,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/b56/ordered_adaptive_b56.cif,ok,pymatgen_structure,Li8 Mg8 Mo12 O48,Li2Mg2(MoO4)3,"{""Li"": 8.0, ""Mg"": 8.0, ""Mo"": 12.0, ""O"": 48.0}",76.0,True,0.0,PASS,0.0,0.0,
test,bnu,oxides,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/bnu/relaxed_bnu.cif,ok,pymatgen_structure,Li18 Al9 Ga9 Ge18 O72,Li2AlGa(GeO4)2,"{""Al"": 9.0, ""Ga"": 9.0, ""Ge"": 18.0, ""Li"": 18.0, ""O"": 72.0}",126.0,True,0.0,PASS,0.0,0.0,
test,bnu,oxides,2,850.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/bnu/relaxed_bnu (3).cif,ok,pymatgen_structure,Li18 Al18 Ge18 O72,LiAlGeO4,"{""Al"": 18.0, ""Ge"": 18.0, ""Li"": 18.0, ""O"": 72.0}",126.0,True,0.0,FAIL_ELEMENT_SET,0.0,0.07142857142857142,
test,bnu,oxides,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/bnu/ordered_adaptive_bnu.cif,ok,pymatgen_structure,Li18 Al9 Ga9 Ge18 O72,Li2AlGa(GeO4)2,"{""Al"": 9.0, ""Ga"": 9.0, ""Ge"": 18.0, ""Li"": 18.0, ""O"": 72.0}",126.0,True,0.0,PASS,0.0,0.0,
test,br1,nitrides,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/br1/relaxed_br1.cif,ok,pymatgen_structure,Li48 Al16 N32,Li3AlN2,"{""Al"": 16.0, ""Li"": 48.0, ""N"": 32.0}",96.0,True,0.0,PASS,0.0,0.0,
test,br1,nitrides,2,850.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/br1/relaxed_br1 (1).cif,ok,pymatgen_structure,Li48 Al16 N32,Li3AlN2,"{""Al"": 16.0, ""Li"": 48.0, ""N"": 32.0}",96.0,True,0.0,PASS,0.0,0.0,
test,br1,nitrides,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/br1/ordered_adaptive_br1.cif,ok,pymatgen_structure,Li48 Al16 N32,Li3AlN2,"{""Al"": 16.0, ""Li"": 48.0, ""N"": 32.0}",96.0,True,0.0,PASS,0.0,0.0,
test,cfy,thio-LISICON,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cfy/relaxed_cfy.cif,ok,pymatgen_structure,Li4 P4 S12,LiPS3,"{""Li"": 4.0, ""P"": 4.0, ""S"": 12.0}",20.0,True,0.0,PASS,0.0,0.0,
test,cfy,thio-LISICON,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/cfy/relaxed_cfy.cif,ok,pymatgen_structure,Li4 P4 S12,LiPS3,"{""Li"": 4.0, ""P"": 4.0, ""S"": 12.0}",20.0,True,0.0,PASS,0.0,0.0,
test,cfy,thio-LISICON,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cfy/ordered_adaptive_cfy.cif,ok,pymatgen_structure,Li4 P4 S12,LiPS3,"{""Li"": 4.0, ""P"": 4.0, ""S"": 12.0}",20.0,True,0.0,PASS,0.0,0.0,
test,cti,garnet,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cti/relaxed_cti.cif,ok,pymatgen_structure,Li43 La24 Y2 Nb14 O96,Li43La24Y2Nb14O96,"{""La"": 24.0, ""Li"": 43.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}",179.0,True,0.0,PASS_INTEGERIZED_COMPOSITION,-0.004629629629629695,0.0029928172386272977,
test,cti,garnet,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/cti/relaxed_cti.cif,ok,pymatgen_structure,Li168 La24 Nb16 O96,Li21La3Nb2O12,"{""La"": 24.0, ""Li"": 168.0, ""Nb"": 16.0, ""O"": 96.0}",304.0,True,0.0,FAIL_ELEMENT_SET,2.888888888888889,0.31156015037593987,
test,cti,garnet,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cti/ordered_adaptive_cti.cif,ok,pymatgen_structure,Li43 La24 Y2 Nb14 O96,Li43La24Y2Nb14O96,"{""La"": 24.0, ""Li"": 43.0, ""Nb"": 14.0, ""O"": 96.0, ""Y"": 2.0}",179.0,True,0.0,PASS_INTEGERIZED_COMPOSITION,-0.004629629629629695,0.0029928172386272977,
test,cz2,nan,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cz2/relaxed_cz2.cif,ok,pymatgen_structure,Li16 Sn4 Se12 S4,Li4SnSe3S,"{""Li"": 16.0, ""S"": 4.0, ""Se"": 12.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,cz2,nan,2,3350.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/cz2/relaxed_cz2.cif,ok,pymatgen_structure,Li20 Sn4 Se16,Li5SnSe4,"{""Li"": 20.0, ""Se"": 16.0, ""Sn"": 4.0}",40.0,True,0.0,FAIL_ELEMENT_SET,0.0,0.12222222222222225,
test,cz2,nan,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/cz2/ordered_adaptive_cz2.cif,ok,pymatgen_structure,Li16 Sn4 Se12 S4,Li4SnSe3S,"{""Li"": 16.0, ""S"": 4.0, ""Se"": 12.0, ""Sn"": 4.0}",36.0,True,0.0,PASS,0.0,0.0,
test,de5,Halide,1,5200.0,350.0,True,False,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/de5/relaxed_de5.cif,ok,pymatgen_structure,Li6 In2 Cl12,Li3InCl6,"{""Cl"": 12.0, ""In"": 2.0, ""Li"": 6.0}",20.0,True,0.0,PASS,0.0,0.0,
test,de5,Halide,2,850.0,-1500.0,False,False,/content/drive/MyDrive/Test_cif/de5/relaxed_de5 (2).cif,ok,pymatgen_structure,Li6 In6 Cl12,LiInCl2,"{""Cl"": 12.0, ""In"": 6.0, ""Li"": 6.0}",24.0,True,0.0,FAIL_GENERAL_STOICHIOMETRY,0.0,0.14999999999999997,
test,de5,Halide,3,800.0,5150.0,False,True,/content/drive/.shortcut-targets-by-id/1uDZz5V21SkVn1nYYRn2QD8YrBPfGKoF1/Test_cif_dos_code-2/de5/ordered_adaptive_de5.cif,ok,pymatgen_structure,Li6 In2 Cl12,Li3InCl6,"{""Cl"": 12.0, ""In"": 2.0, ""Li"": 6.0}",20.0,True,0.0,PASS,0.0,0.0,
